,HISSE,SEKTOR
0,AEFES,Consumer Defensive
1,AGHOL,Consumer Defensive
2,AKBNK,Financial Services
3,AKSA,Consumer Cyclical
4,AKSEN,Utilities
5,ALARK,Industrials
6,ALBRK,Financial Services
7,ALGYO,Real Estate
8,ANACM,CIKIS
9,ARCLK,Consumer Cyclical
10,ASELS,Industrials
11,AVOD,Consumer Defensive
12,BERA,Industrials
13,BIMAS,Consumer Defensive
14,BJKAS,Communication Services
15,CCOLA,Consumer Defensive
16,CEMAS,Industrials
17,CEMTS,Basic Materials
18,CLEBI,Industrials
19,DEVA,Healthcare
20,DGKLB,ISIM DEGIS
21,DOAS,Consumer Cyclical
22,DOHOL,Industrials
23,ECILC,Healthcare
24,EGEEN,Consumer Cyclical
25,EKGYO,Real Estate
26,ENJSA,Utilities
27,ENKAI,Industrials
28,EREGL,Basic Materials
29,FENER,Communication Services
30,FROTO,Consumer Cyclical
31,GARAN,Financial Services
32,GEREL,Industrials
33,GLYHO,Industrials
34,GOLTS,Basic Materials
35,GOZDE,Financial Services
36,GSDHO,Financial Services
37,GSRAY,Communication Services
38,GUBRF,Basic Materials
39,HALKB,Financial Services
40,HEKTS,Basic Materials
41,HLGYO,Real Estate
42,ICBCT,Financial Services
43,IEYHO,Consumer Cyclical
44,IHLAS,Industrials
45,IHLGM,Real Estate
46,IPEKE,Basic Materials
47,ISCTR,Financial Services
48,ISDMIR,Basic Materials
49,ISFIN,Financial Services
50,ITTFH,Industrials
51,KARSN,Consumer Cyclical
52,KCHOL,Industrials
53,KERVT,Consumer Defensive
54,KONYA,Basic Materials
55,KORDS,Consumer Cyclical
56,KOZAA,Basic Materials
57,KOZAL,Basic Materials
58,KRDMD,Basic Materials
59,MAVI,Consumer Cyclical
60,METRO,Consumer Defensive
61,MGROS,Consumer Defensive
62,MPARK,Healthcare
63,NETAS,Technology
64,NTHOL,Consumer Cyclical
65,ODAS,Utilities
66,OTKAR,Consumer Cyclical
67,PARSN,Industrials
68,PETKM,Basic Materials
69,PGSUS,Industrials
70,POLHO,Basic Materials
71,PRKME,Energy
72,SAHOL,Financial Services
73,SARKY,Basic Materials
74,SASA,Consumer Cyclical
75,SISE,Basic Materials
76,SKBNK,Financial Services
77,SODA,CIKIS
78,SOKM,Consumer Cyclical
79,TAVHL,Industrials
80,TCELL,Communication Services
81,THYAO,Industrials
82,TKFEN,Industrials
83,TMSN,Industrials
84,TOASO,Consumer Cyclical
85,TRGYO,Real Estate
86,TRKCM,CIKIS
87,TSKB,Financial Services
88,TTKOM,Communication Services
89,TTRAK,Industrials
90,TUKAS,Consumer Defensive
91,TUPRS,Energy
92,TURSG,Financial Services
93,ULKER,Consumer Defensive
94,VAKBN,Financial Services
95,VERUS,Financial Services
96,VESTL,Technology
97,YATAS,Consumer Cyclical
98,YKBNK,Financial Services
99,ZOREN,Utilities
