,HISSE,INDUSTRY
0,ADESE,Discount Stores
1,AEFES,Beverages—Brewers
2,AGHOL,Beverages—Non-Alcoholic
3,AKBNK,Banks—Regional
4,AKSA,Textile Manufacturing
5,AKSEN,Utilities—Renewable
6,ALARK,Conglomerates
7,ALBRK,Banks—Regional
8,ALGYO,REIT—Diversified
9,ANACM,CIKIS
10,ARCLK,"Furnishings, Fixtures & Appliances"
11,ASELS,Aerospace & Defense
12,AVOD,Packaged Foods
13,BERA,Conglomerates
14,BIMAS,Grocery Stores
15,BJKAS,Entertainment
16,CCOLA,Beverages—Non-Alcoholic
17,CEMAS,Metal Fabrication
18,CEMTS,Steel
19,CLEBI,Airports & Air Services
20,DGKLB,ISIM DEGIS
21,DOHOL,Conglomerates
22,ECILC,Drug Manufacturers—General
23,EGEEN,Auto Parts
24,EKGYO,REIT—Residential
25,ENJSA,Utilities—Regulated Electric
26,ENKAI,Engineering & Construction
27,EREGL,Steel
28,FENER,Entertainment
29,FROTO,Auto Manufacturers
30,GARAN,Banks—Regional
31,GENTS,"Furnishings, Fixtures & Appliances"
32,GEREL,Electrical Equipment & Parts
33,GOLTS,Building Materials
34,GOZDE,Asset Management
35,GSDHO,Asset Management
36,GSRAY,Entertainment
37,GUBRF,Agricultural Inputs
38,HALKB,Banks—Regional
39,HEKTS,Agricultural Inputs
40,HURGZ,Publishing
41,ICBCT,Banks—Regional
42,IEYHO,Textile Manufacturing
43,IHLAS,Conglomerates
44,IHLGM,Real Estate—Diversified
45,INDES,Computer Hardware
46,IPEKE,Gold
47,ISCTR,Banks—Regional
48,ISDMR,Steel
49,ISFIN,Credit Services
50,ISGYO,REIT—Diversified
51,ITTFH,Conglomerates
52,KARSN,Auto Manufacturers
53,KCHOL,Conglomerates
54,KERVT,Packaged Foods
55,KONYA,Building Materials
56,KORDS,Textile Manufacturing
57,KOZAA,Other Industrial Metals & Mining
58,KOZAL,Gold
59,KRDMD,Steel
60,MAVI,Apparel Retail
61,METRO,Packaged Foods
62,MGROS,Grocery Stores
63,MPARK,Medical Care Facilities
64,NETAS,Communication Equipment
65,NTHOL,Travel Services
66,ODAS,Utilities—Regulated Electric
67,OTKAR,Auto Manufacturers
68,PARSN,Specialty Industrial Machinery
69,PETKM,Chemicals
70,PGSUS,Airlines
71,POLHO,Specialty Chemicals
72,PRKME,Thermal Coal
73,SAHOL,Banks—Regional
74,SARKY,Copper
75,SASA,Textile Manufacturing
76,SISE,CIKIS
77,SKBNK,Banks—Regional
78,SODA,CIKIS
79,SOKM,Department Stores
80,TAVHL,Airports & Air Services
81,TCELL,Telecom Services
82,THYAO,Airlines
83,TKFEN,Engineering & Construction
84,TMSN,Farm & Heavy Construction Machinery
85,TOASO,Auto Manufacturers
86,TRKCM,CIKIS
87,TSKB,Banks—Regional
88,TTKOM,Telecom Services
89,TTRAK,Farm & Heavy Construction Machinery
90,TUKAS,Packaged Foods
91,TUPRS,Oil & Gas Refining & Marketing
92,TURSG,Insurance—Property & Casualty
93,ULKER,Confectioners
94,VAKBN,Banks—Regional
95,VERUS,Asset Management
96,VESTL,Consumer Electronics
97,YATAS,"Furnishings, Fixtures & Appliances"
98,YKBNK,Banks—Regional
99,ZOREN,Utilities—Diversified
