,HISSE,SEKTOR
0,ADESE,Consumer Defensive
1,AEFES,Consumer Defensive
2,AGHOL,Consumer Defensive
3,AKBNK,Financial Services
4,AKSA,Consumer Cyclical
5,AKSEN,Utilities
6,ALARK,Industrials
7,ALBRK,Financial Services
8,ALGYO,Real Estate
9,ANACM,CIKIS
10,ARCLK,Consumer Cyclical
11,ASELS,Industrials
12,AVOD,Consumer Defensive
13,BERA,Industrials
14,BIMAS,Consumer Defensive
15,BJKAS,Communication Services
16,CCOLA,Consumer Defensive
17,CEMAS,Industrials
18,CEMTS,Basic Materials
19,CLEBI,Industrials
20,DGKLB,ISIM DEGIS
21,DOHOL,Industrials
22,ECILC,Healthcare
23,EGEEN,Consumer Cyclical
24,EKGYO,Real Estate
25,ENJSA,Utilities
26,ENKAI,Industrials
27,EREGL,Basic Materials
28,FENER,Communication Services
29,FROTO,Consumer Cyclical
30,GARAN,Financial Services
31,GENTS,Consumer Cyclical
32,GEREL,Industrials
33,GOLTS,Basic Materials
34,GOZDE,Financial Services
35,GSDHO,Financial Services
36,GSRAY,Communication Services
37,GUBRF,Basic Materials
38,HALKB,Financial Services
39,HEKTS,Basic Materials
40,HURGZ,Communication Services
41,ICBCT,Financial Services
42,IEYHO,Consumer Cyclical
43,IHLAS,Industrials
44,IHLGM,Real Estate
45,INDES,Technology
46,IPEKE,Basic Materials
47,ISCTR,Financial Services
48,ISDMIR,Basic Materials
49,ISFIN,Financial Services
50,ISGYO,Real Estate
51,ITTFH,Industrials
52,KARSN,Consumer Cyclical
53,KCHOL,Industrials
54,KERVT,Consumer Defensive
55,KONYA,Basic Materials
56,KORDS,Consumer Cyclical
57,KOZAA,Basic Materials
58,KOZAL,Basic Materials
59,KRDMD,Basic Materials
60,MAVI,Consumer Cyclical
61,METRO,Consumer Defensive
62,MGROS,Consumer Defensive
63,MPARK,Healthcare
64,NETAS,Technology
65,NTHOL,Consumer Cyclical
66,ODAS,Utilities
67,OTKAR,Consumer Cyclical
68,PARSN,Industrials
69,PETKM,Basic Materials
70,PGSUS,Industrials
71,POLHO,Basic Materials
72,PRKME,Energy
73,SAHOL,Financial Services
74,SARKY,Basic Materials
75,SASA,Consumer Cyclical
76,SISE,Basic Materials
77,SKBNK,Financial Services
78,SODA,CIKIS
79,SOKM,Consumer Cyclical
80,TAVHL,Industrials
81,TCELL,Communication Services
82,THYAO,Industrials
83,TKFEN,Industrials
84,TMSN,Industrials
85,TOASO,Consumer Cyclical
86,TRKCM,CIKIS
87,TSKB,Financial Services
88,TTKOM,Communication Services
89,TTRAK,Industrials
90,TUKAS,Consumer Defensive
91,TUPRS,Energy
92,TURSG,Financial Services
93,ULKER,Consumer Defensive
94,VAKBN,Financial Services
95,VERUS,Financial Services
96,VESTL,Technology
97,YATAS,Consumer Cyclical
98,YKBNK,Financial Services
99,ZOREN,Utilities
