,HISSE,INDUSTRY-22,SEKTOR-22
74,SELEC,Pharmaceutical Retailers,Healthcare
75,SISE,Specialty Chemicals,Basic Materials
76,SKBNK,Banks/Regional,Financial Services
77,SOKM,Department Stores,Consumer Cyclical
78,TAVHL,Airports & Air Services,Industrials
79,TCELL,Telecom Services,Communication Services
80,THYAO,Airlines,Industrials
81,TKFEN,Engineering & Construction,Industrials
82,TKNSA,Specialty Retail,Consumer Cyclical
83,TOASO,Auto Manufacturers,Consumer Cyclical
84,TTRAK,Farm & Heavy Construction Machinery,Industrials
85,TRGYO,REIT/Retail,Real Estate
86,TSKB,Banks/Regional,Financial Services
87,TTKOM,Telecom Services,Communication Services
88,TUPRS,Oil & Gas Refining & Marketing,Energy
89,TURSG,Insurance/Property & Casualty,Financial Services
90,ULKER,Confectioners,Consumer Defensive
91,VAKBN,Banks/Regional,Financial Services
92,VERUS,Asset Management,Financial Services
"93,VESBE,""Furnishings, Fixtures & Appliances"",Consumer Cyclical"
94,VESTL,Consumer Electronics,Technology
"95,YATAS,""Furnishings, Fixtures & Appliances"",Consumer Cyclical"
96,YKBNK,Banks/Regional,Financial Services
97,ZOREN,Utilities/Diversified,Utilities
98,ZRGYO,REIT/Diversified,Real Estate
99,ARASE,Utilities/Independent Power Producers,Utilities
100,GSDHO,Asset Management,Financial Services
101,GWIND,Utilities/Renewable,Utilities
102,JANTS,Auto Parts,Consumer Cyclical
103,KONTR,Conglomerates,Industrials
"104,KUTPO,""Furnishings, Fixtures & Appliances"",Consumer Cyclical"
105,KZBGY,REIT/Hotel & Motel,Real Estate
106,NUGYO,REIT/Diversified,Real Estate
107,SNGYO,REIT/Residential,Real Estate
108,TRILC,Drug Manufacturers/Specialty & Generic,Healthcare
109,AKFGY,REIT/Hotel & Motel,Real Estate
110,ALBRK,Banks/Regional,Financial Services
111,BAGFS,Agricultural Inputs,Basic Materials
112,BUCIM,Building Materials,Basic Materials
113,CEMTS,Steel,Basic Materials
114,INVES,Asset Management,Financial Services
115,PSGYO,REIT/Diversified,Real Estate
116,PRKAB,Electrical Equipment & Parts,Industrials
117,SMRTG,Solar,Technology
118,TMSN,Farm & Heavy Construction Machinery,Industrials
119,TSPOR,Broadcasting,Communication Services
120,TUKAS,Packaged Foods,Consumer Defensive
121,YYLGD,Farm Products,Consumer Defensive
