,HISSE,INDUSTRY
0,AEFES,Beverages—Brewers
1,AGHOL,Conglomerates
2,AKBNK,Banks—Regional
3,AKCNS,Building Materials
4,AKGRT,Insurance—Diversified
5,AKSA,Textile Manufacturing
6,AKSEN,Utilities—Renewable
7,AKSGY,REIT—Diversified
8,ALARK,Conglomerates
9,ALBRK,Banks—Regional
10,ALCTL,Communication Equipment
11,ALGYO,REIT—Diversified
12,ALKIM,Paper & Paper Products
13,ARCLK,"Furnishings, Fixtures & Appliances"
14,ARDYZ,Software—Infrastructure
15,ASELS,Aerospace & Defense
16,AYGAZ,Utilities—Regulated Gas
17,BIMAS,Grocery Stores
18,BIZIM,Department Stores
19,BRISA,Auto Parts
20,BRSAN,Steel
21,BUCIM,Building Materials
22,CCOLA,Beverages—Non-Alcoholic
23,CEMTS,Steel
24,CIMSA,Building Materials
25,CLEBI,Airports & Air Services
26,DEVA,Drug Manufacturers—Specialty & Generic
27,DOAS,Auto & Truck Dealerships
28,DOCO,Airports & Air Services
29,DOHOL,Conglomerates
30,ECILC,Drug Manufacturers—General
31,ECZYT,Conglomerates
32,EGEEN,Auto Parts
33,EKGYO,REIT—Residential
34,ENJSA,Utilities—Regulated Electric
35,ENKAI,Engineering & Construction
36,EREGL,Steel
37,FROTO,Auto Manufacturers
38,GARAN,Banks—Regional
39,GOODY,Auto Parts
40,GOZDE,Asset Management
41,GSDHO,Asset Management
42,GUBRF,Agricultural Inputs
43,HALKB,Banks—Regional
44,HEKTS,Agricultural Inputs
45,HLGYO,REIT—Diversified
46,INDES,Computer Hardware
47,IPEKE,Gold
48,ISCTR,Banks—Regional
49,ISDMR,Steel
50,ISFIN,Credit Services
51,ISGYO,REIT—Diversified
52,ISMEN,Capital Markets
53,KAREL,Communication Equipment
54,KARTN,Packaging & Containers
55,KCHOL,Conglomerates
56,KERVT,Packaged Foods
57,KORDS,Textile Manufacturing
58,KOZAA,Other Industrial Metals & Mining
59,KOZAL,Gold
60,KRDMD,Steel
61,LOGO,Software—Application
62,MAVI,Apparel Retail
63,MGROS,Grocery Stores
64,MPARK,Medical Care Facilities
65,NETAS,Communication Equipment
66,NTHOL,Travel Services
67,ODAS,Utilities—Regulated Electric
68,OTKAR,Auto Manufacturers
69,OYAKC,Building Materials
70,OZKGY,REIT—Diversified
71,PETKM,Chemicals
72,PETUN,Packaged Foods
73,PGSUS,Airlines
74,PNSUT,Packaged Foods
75,SAHOL,Banks—Regional
76,SASA,Textile Manufacturing
77,SELEC,Pharmaceutical Retailers
78,SISE,Specialty Chemicals
79,SKBNK,Banks—Regional
80,SOKM,Department Stores
81,TATGD,Packaged Foods
82,TAVHL,Airports & Air Services
83,TCELL,Telecom Services
84,THYAO,Airlines
85,TKFEN,Engineering & Construction
86,TMSN,Farm & Heavy Construction Machinery
87,TOASO,Auto Manufacturers
88,TRGYO,REIT—Retail
89,TSKB,Banks—Regional
90,TTKOM,Telecom Services
91,TTRAK,Farm & Heavy Construction Machinery
92,TUPRS,Oil & Gas Refining & Marketing
93,TURSG,Insurance—Property & Casualty
94,ULKER,Confectioners
95,VAKBN,Banks—Regional
96,VESTL,Consumer Electronics
97,YATAS,"Furnishings, Fixtures & Appliances"
98,YKBNK,Banks—Regional
99,ZOREN,Utilities—Diversified
