,HISSE,INDUSTRY
0,AEFES,Beverages—Brewers
1,AGHOL,Beverages—Non-Alcoholic
2,AKBNK,Banks—Regional
3,AKCNS,Building Materials
4,AKGRT,Insurance—Diversified
5,AKSA,Textile Manufacturing
6,AKSEN,Utilities—Renewable
7,ALARK,Conglomerates
8,ALBRK,Banks—Regional
9,ALGYO,REIT—Diversified
10,ALKIM,Paper & Paper Products
11,ANACM,NONE
12,ARCLK,"Furnishings, Fixtures & Appliances"
13,ASELS,Aerospace & Defense
14,AYGAZ,Utilities—Regulated Gas
15,BIMAS,Grocery Stores
16,BIZIM,Department Stores
17,BRISA,Auto Parts
18,BRSAN,Steel
19,BUCIM,Building Materials
20,CCOLA,Beverages—Non-Alcoholic
21,CEMTS,Steel
22,CIMSA,Building Materials
23,CLEBI,Airports & Air Services
24,DEVA,Drug Manufacturers—Specialty & Generic
25,DOAS,Auto & Truck Dealerships
26,DOCO,Airports & Air Services
27,DOHOL,Conglomerates
28,ECILC,Drug Manufacturers—General
29,ECZYT,Conglomerates
30,EGEEN,Auto Parts
31,EKGYO,REIT—Residential
32,ENJSA,Utilities—Regulated Electric
33,ENKAI,Engineering & Construction
34,EREGL,Steel
35,FROTO,Auto Manufacturers
36,GARAN,Banks—Regional
37,GLYHO,Conglomerates
38,GOODY,Auto Parts
39,GOZDE,Asset Management
40,GSDHO,Asset Management
41,GUBRF,Agricultural Inputs
42,HALKB,Banks—Regional
43,HEKTS,Agricultural Inputs
44,HLGYO,REIT—Diversified
45,IPEKE,Gold
46,ISCTR,Banks—Regional
47,ISDMR,Steel
48,ISFIN,Credit Services
49,ISGYO,REIT—Diversified
50,ISMEN,Capital Markets
51,KAREL,Communication Equipment
52,KARSN,Auto Manufacturers
53,KARTN,Packaging & Containers
54,KCHOL,Conglomerates
55,KERVT,Packaged Foods
56,KLMSN,Specialty Industrial Machinery
57,KORDS,Textile Manufacturing
58,KOZAA,Other Industrial Metals & Mining
59,KOZAL,Gold
60,KRDMD,Steel
61,LOGO,Software—Application
62,MAVI,Apparel Retail
63,MGROS,Grocery Stores
64,MPARK,Medical Care Facilities
65,NETAS,Communication Equipment
66,NTHOL,Travel Services
67,ODAS,Utilities—Regulated Electric
68,OTKAR,Auto Manufacturers
69,OYAKC,Building Materials
70,OZKGY,REIT—Diversified
71,PETKM,Chemicals
72,PGSUS,Airlines
73,SAHOL,Banks—Regional
74,SASA,Textile Manufacturing
75,SELEC,Pharmaceutical Retailers
76,SISE,Specialty Chemicals
77,SKBNK,Banks—Regional
78,SODA,NONE
79,SOKM,NONE
80,TATGD,Packaged Foods
81,TAVHL,Airports & Air Services
82,TCELL,Telecom Services
83,THYAO,Airlines
84,TKFEN,Engineering & Construction
85,TMSN,Farm & Heavy Construction Machinery
86,TOASO,Auto Manufacturers
87,TRGYO,REIT—Retail
88,TRKCM,NONE
89,TSKB,Banks—Regional
90,TTKOM,Telecom Services
91,TTRAK,Farm & Heavy Construction Machinery
92,TUPRS,Oil & Gas Refining & Marketing
93,TURSG,Insurance—Property & Casualty
94,ULKER,Confectioners
95,VAKBN,Banks—Regional
96,VESTL,Consumer Electronics
97,YATAS,"Furnishings, Fixtures & Appliances"
98,YKBNK,Banks—Regional
99,ZOREN,Utilities—Diversified
