,HISSE,SEKTOR
0,AEFES,Consumer Defensive
1,AGHOL,Consumer Defensive
2,AKBNK,Financial Services
3,AKCNS,Basic Materials
4,AKGRT,Financial Services
5,AKSA,Consumer Cyclical
6,AKSEN,Utilities
7,AKSGY,Real Estate
8,ALARK,Industrials
9,ALBRK,Financial Services
10,ALCTL,Technology
11,ALGYO,Real Estate
12,ALKIM,Basic Materials
13,ARCLK,Consumer Cyclical
14,ARDYZ,Technology
15,ASELS,Industrials
16,AYGAZ,Utilities
17,BIMAS,Consumer Defensive
18,BIZIM,Consumer Cyclical
19,BRISA,Consumer Cyclical
20,BRSAN,Basic Materials
21,BUCIM,Basic Materials
22,CCOLA,Consumer Defensive
23,CEMTS,Basic Materials
24,CIMSA,Basic Materials
25,CLEBI,Industrials
26,DEVA,Healthcare
27,DOAS,Consumer Cyclical
28,DOCO,Industrials
29,DOHOL,Industrials
30,ECILC,Healthcare
31,ECZYT,Industrials
32,EGEEN,Consumer Cyclical
33,EKGYO,Real Estate
34,ENJSA,Utilities
35,ENKAI,Industrials
36,EREGL,Basic Materials
37,FROTO,Consumer Cyclical
38,GARAN,Financial Services
39,GOODY,Consumer Cyclical
40,GOZDE,Financial Services
41,GSDHO,Financial Services
42,GUBRF,Basic Materials
43,HALKB,Financial Services
44,HEKTS,Basic Materials
45,HLGYO,Real Estate
46,INDES,Technology
47,IPEKE,Basic Materials
48,ISCTR,Financial Services
49,ISDMIR,Basic Materials
50,ISFIN,Financial Services
51,ISGYO,Real Estate
52,ISMEN,Financial Services
53,KAREL,Technology
54,KARTN,Consumer Cyclical
55,KCHOL,Industrials
56,KERVT,Consumer Defensive
57,KORDS,Consumer Cyclical
58,KOZAA,Basic Materials
59,KOZAL,Basic Materials
60,KRDMD,Basic Materials
61,LOGO,Technology
62,MAVI,Consumer Cyclical
63,MGROS,Consumer Defensive
64,MPARK,Healthcare
65,NETAS,Technology
66,NTHOL,Consumer Cyclical
67,ODAS,Utilities
68,OTKAR,Consumer Cyclical
69,OYAKC,Basic Materials
70,OZKGY,Real Estate
71,PETKM,Basic Materials
72,PETUN,Consumer Defensive
73,PGSUS,Industrials
74,PNSUT,Consumer Defensive
75,SAHOL,Financial Services
76,SASA,Consumer Cyclical
77,SELEC,Healthcare
78,SISE,Basic Materials
79,SKBNK,Financial Services
80,SOKM,Consumer Cyclical
81,TATGD,Consumer Defensive
82,TAVHL,Industrials
83,TCELL,Communication Services
84,THYAO,Industrials
85,TKFEN,Industrials
86,TMSN,Industrials
87,TOASO,Consumer Cyclical
88,TRGYO,Real Estate
89,TSKB,Financial Services
90,TTKOM,Communication Services
91,TTRAK,Industrials
92,TUPRS,Energy
93,TURSG,Financial Services
94,ULKER,Consumer Defensive
95,VAKBN,Financial Services
96,VESTL,Technology
97,YATAS,Consumer Cyclical
98,YKBNK,Financial Services
99,ZOREN,Utilities
