,HISSE,INDUSTRY
0,AEFES,Beverages—Brewers
1,AGHOL,Beverages—Non-Alcoholic
2,AKBNK,Banks—Regional
3,AKGRT,Insurance—Diversified
4,AKSA,Textile Manufacturing
5,AKSEN,Utilities—Renewable
6,ALARK,Conglomerates
7,ALBRK,Banks—Regional
8,ALGYO,REIT—Diversified
9,ALKIM,Paper & Paper Products
10,ANACM,NONE
11,ANHYT,Insurance—Life
12,ARCLK,"Furnishings, Fixtures & Appliances"
13,ASELS,Aerospace & Defense
14,AYGAZ,Utilities—Regulated Gas
15,BIMAS,Grocery Stores
16,BIZIM,Department Stores
17,BRISA,Auto Parts
18,BRSAN,Steel
19,BTCIM,Building Materials
20,BUCIM,Building Materials
21,CCOLA,Beverages—Non-Alcoholic
22,CEMTS,Steel
23,CIMSA,Building Materials
24,CLEBI,Airports & Air Services
25,DEVA,Drug Manufacturers—Specialty & Generic
26,DOAS,Auto & Truck Dealerships
27,DOHOL,Conglomerates
28,ECILC,Drug Manufacturers—General
29,ECZYT,Conglomerates
30,EGEEN,Auto Parts
31,EKGYO,REIT—Residential
32,ENJSA,Utilities—Regulated Electric
33,ENKAI,Engineering & Construction
34,ERBOS,Metal Fabrication
35,EREGL,Steel
36,FROTO,Auto Manufacturers
37,GARAN,Banks—Regional
38,GOODY,Auto Parts
39,GOZDE,Asset Management
40,GSDHO,Asset Management
41,GUBRF,Agricultural Inputs
42,HALKB,Banks—Regional
43,HEKTS,Agricultural Inputs
44,HLGYO,REIT—Diversified
45,INDES,Computer Hardware
46,IPEKE,Gold
47,ISCTR,Banks—Regional
48,ISDMR,Steel
49,ISFIN,Credit Services
50,ISGYO,REIT—Diversified
51,ISMEN,Capital Markets
52,KAREL,Communication Equipment
53,KARSN,Auto Manufacturers
54,KARTN,Packaging & Containers
55,KCHOL,Conglomerates
56,KERVT,Packaged Foods
57,KLMSN,Specialty Industrial Machinery
58,KORDS,Textile Manufacturing
59,KOZAA,Other Industrial Metals & Mining
60,KOZAL,Gold
61,KRDMD,Steel
62,LOGO,Software—Application
63,MAVI,Apparel Retail
64,MGROS,Grocery Stores
65,MPARK,Medical Care Facilities
66,NETAS,Communication Equipment
67,NTHOL,Travel Services
68,ODAS,Utilities—Regulated Electric
69,OTKAR,Auto Manufacturers
70,PETKM,Chemicals
71,PGSUS,Airlines
72,SAHOL,Banks—Regional
73,SARKY,Copper
74,SASA,Textile Manufacturing
75,SISE,Specialty Chemicals
76,SKBNK,Banks—Regional
77,SODA,CIKIS
78,SOKM,Department Stores
79,TATGD,Packaged Foods
80,TAVHL,Airports & Air Services
81,TCELL,Telecom Services
82,THYAO,Airlines
83,TKFEN,Engineering & Construction
84,TMSN,Farm & Heavy Construction Machinery
85,TOASO,Auto Manufacturers
86,TRCAS,Utilities—Independent Power Producers
87,TRGYO,NONE
88,TRKCM,CIKIS
89,TSKB,Banks—Regional
90,TTKOM,Telecom Services
91,TTRAK,Farm & Heavy Construction Machinery
92,TUPRS,Oil & Gas Refining & Marketing
93,TURSG,Insurance—Property & Casualty
94,ULKER,Confectioners
95,VAKBN,Banks—Regional
96,VESTL,Consumer Electronics
97,YATAS,"Furnishings, Fixtures & Appliances"
98,YKBNK,Banks—Regional
99,ZOREN,Utilities—Diversified
