,HISSE,INDUSTRY
0,AEFES,Beverages—Brewers
1,AGHOL,Beverages—Non-Alcoholic
2,AKBNK,Banks—Regional
3,AKCNS,Building Materials
4,AKGRT,Insurance—Diversified
5,AKSA,Textile Manufacturing
6,AKSEN,Utilities—Renewable
7,ALARK,Conglomerates
8,ALBRK,Banks—Regional
9,ALGYO,REIT—Diversified
10,ALKIM,Paper & Paper Products
11,ANACM,NONE
12,ANHYT,Insurance—Life
13,ARCLK,"Furnishings, Fixtures & Appliances"
14,ASELS,Aerospace & Defense
15,AYGAZ,Utilities—Regulated Gas
16,BIMAS,Grocery Stores
17,BIZIM,Department Stores
18,BRISA,Auto Parts
19,BRSAN,Steel
20,BUCIM,Building Materials
21,CCOLA,Beverages—Non-Alcoholic
22,CEMTS,Steel
23,CIMSA,Building Materials
24,CLEBI,Airports & Air Services
25,DEVA,Drug Manufacturers—Specialty & Generic
26,DOAS,Auto & Truck Dealerships
27,DOHOL,Conglomerates
28,ECILC,Drug Manufacturers—General
29,ECZYT,Conglomerates
30,EGEEN,Auto Parts
31,EKGYO,REIT—Residential
32,ENJSA,Utilities—Regulated Electric
33,ENKAI,Engineering & Construction
34,EREGL,Steel
35,FROTO,Auto Manufacturers
36,GARAN,Banks—Regional
37,GLYHO,Conglomerates
38,GOODY,Auto Parts
39,GOZDE,Asset Management
40,GUBRF,Agricultural Inputs
41,HALKB,Banks—Regional
42,HEKTS,Agricultural Inputs
43,HLGYO,REIT—Diversified
44,IPEKE,Gold
45,ISCTR,Banks—Regional
46,ISDMR,Steel
47,ISFIN,Credit Services
48,ISGYO,REIT—Diversified
49,ISMEN,Capital Markets
50,KAREL,Communication Equipment
51,KARSN,Auto Manufacturers
52,KARTN,Packaging & Containers
53,KCHOL,Conglomerates
54,KERVT,Packaged Foods
55,KLMSN,Specialty Industrial Machinery
56,KORDS,Textile Manufacturing
57,KOZAA,Other Industrial Metals & Mining
58,KOZAL,Gold
59,KRDMD,Steel
60,LOGO,Software—Application
61,MAVI,Apparel Retail
62,MGROS,Grocery Stores
63,MPARK,Medical Care Facilities
64,NETAS,Communication Equipment
65,NTHOL,Travel Services
66,ODAS,Utilities—Regulated Electric
67,OTKAR,Auto Manufacturers
68,OZKGY,REIT—Diversified
69,PETKM,Chemicals
70,PGSUS,Airlines
71,RYGYO,REIT—Industrial
72,SAHOL,Banks—Regional
73,SARKY,Copper
74,SASA,Textile Manufacturing
75,SELEC,Pharmaceutical Retailers
76,SISE,Specialty Chemicals
77,SKBNK,Banks—Regional
78,SODA,NONE
79,SOKM,Department Stores
80,TATGD,Packaged Foods
81,TAVHL,Airports & Air Services
82,TCELL,Telecom Services
83,THYAO,Airlines
84,TKFEN,Engineering & Construction
85,TMSN,Farm & Heavy Construction Machinery
86,TOASO,Auto Manufacturers
87,TRGYO,REIT—Retail
88,TRKCM,NONE
89,TSKB,Banks—Regional
90,TTKOM,Telecom Services
91,TTRAK,Farm & Heavy Construction Machinery
92,TUPRS,Oil & Gas Refining & Marketing
93,TURSG,Insurance—Property & Casualty
94,ULKER,Confectioners
95,VAKBN,Banks—Regional
96,VESTL,Consumer Electronics
97,YATAS,"Furnishings, Fixtures & Appliances"
98,YKBNK,Banks—Regional
99,ZOREN,Utilities—Diversified
