,HISSE,SEKTOR
0,ADESE,Consumer Defensive
1,AEFES,Consumer Defensive
2,AGHOL,Consumer Defensive
3,AKBNK,Financial Services
4,AKSA,Consumer Cyclical
5,AKSEN,Utilities
6,ALARK,Industrials
7,ALGYO,Real Estate
8,ALKIM,Basic Materials
9,ARCLK,Consumer Cyclical
10,ARDYZ,Technology
11,ASELS,Industrials
12,AYDEM,Utilities
13,BASGZ,Utilities
14,BERA,Industrials
15,BIMAS,Consumer Defensive
16,BIOEN,Utilities
17,BRISA,Consumer Cyclical
18,BRYAT,Basic Materials
19,CANTE,Utilities
20,CCOLA,Consumer Defensive
21,CEMAS,Industrials
22,CIMSA,Basic Materials
23,DEVA,Healthcare
24,DOAS,Consumer Cyclical
25,DOHOL,Industrials
26,ECILC,Healthcare
27,EGEEN,Consumer Cyclical
28,EKGYO,Real Estate
29,ENJSA,Utilities
30,ENKAI,Industrials
31,ERBOS,Industrials
32,EREGL,Basic Materials
33,ESEN,Utilities
34,FROTO,Consumer Cyclical
35,GARAN,Financial Services
36,GENIL,Healthcare
37,GESAN,Industrials
38,GLYHO,Industrials
39,GOZDE,Financial Services
40,GUBRF,Basic Materials
41,HALKB,Financial Services
42,HEKTS,Basic Materials
43,INDES,Technology
44,IPEKE,Basic Materials
45,ISCTR,Financial Services
46,ISDMR,Basic Materials
47,ISFIN,Financial Services
48,ISGYO,Real Estate
49,ISMEN,Financial Services
50,IZMDC,Basic Materials
51,KARSN,Consumer Cyclical
52,KARTN,Consumer Cyclical
53,KCHOL,Industrials
54,KERVT,Consumer Defensive
55,KORDS,Consumer Cyclical
56,KOZAA,Basic Materials
57,KOZAL,Basic Materials
58,KRDMD,Basic Materials
59,KRVGD,Consumer Defensive
60,LOGO,Technology
61,MAVI,Consumer Cyclical
62,MGROS,Consumer Defensive
63,NTHOL,Consumer Cyclical
64,ODAS,Utilities
65,OTKAR,Consumer Cyclical
66,OYAKC,Basic Materials
67,PARSN ,Industrials
68,PETKM,Basic Materials
69,PGSUS,Industrials
70,QUAGR,Industrials
71,RTALB,Healthcare
72,SAHOL,Financial Services
73,SARKY,Basic Materials
74,SASA,Consumer Cyclical
75,SELEC,Healthcare
76,SISE,Basic Materials
77,SKBNK,Financial Services
78,SOKM,Consumer Cyclical
79,TAVHL,Industrials
80,TCELL,Communication Services
81,THYAO,Industrials
82,TKFEN,Industrials
83,TKNSA,Consumer Cyclical
84,TOASO,Consumer Cyclical
85,TTRAK,Industrials
86,TRGYO,Real Estate
87,TSKB,Financial Services
88,TTKOM,Communication Services
89,TUPRS,Energy
90,TURSG,Financial Services
91,ULKER,Consumer Defensive
92,VAKBN,Financial Services
93,VERUS,Financial Services
94,VESBE,Consumer Cyclical
95,VESTL,Technology
96,YATAS,Consumer Cyclical
97,YKBNK,Financial Services
98,ZOREN,Utilities
99,ZRGYO,Real Estate
