,HISSE,INDUSTRY
0,AEFES,Beverages—Brewers
1,AGHOL,Beverages—Non-Alcoholic
2,AKBNK,Banks—Regional
3,AKSA,Textile Manufacturing
4,AKSEN,Utilities—Renewable
5,ALARK,Conglomerates
6,ALGYO,REIT—Diversified
7,ALKIM,Paper & Paper Products
8,ARASE,Utilities—Independent Power Producers
9,ARCLK,"Furnishings, Fixtures & Appliances"
10,ARDYZ,Software—Infrastructure
11,ASELS,Aerospace & Defense
12,AYDEM,Utilities—Renewable
13,BASGZ,Utilities—Regulated Gas
14,BERA,Conglomerates
15,BIMAS,Grocery Stores
16,BIOEN,Utilities—Renewable
17,BRISA,Auto Parts
18,BRYAT,Steel
19,CANTE,Utilities—Independent Power Producers
20,CCOLA,Beverages—Non-Alcoholic
21,CIMSA,Building Materials
22,DEVA,Drug Manufacturers—Specialty & Generic
23,DOAS,Auto & Truck Dealerships
24,DOHOL,Conglomerates
25,ECILC,Drug Manufacturers—General
26,EGEEN,Auto Parts
27,EKGYO,REIT—Residential
28,ENJSA,Utilities—Regulated Electric
29,ENKAI,Engineering & Construction
30,ERBOS,Metal Fabrication
31,EREGL,Steel
32,ESEN,Utilities—Renewable
33,FROTO,Auto Manufacturers
34,GARAN,Banks—Regional
35,GENIL,Drug Manufacturers—Specialty & Generic
36,GLYHO,Conglomerates
37,GOZDE,Asset Management
38,GSDHO,Asset Management
39,GUBRF,Agricultural Inputs
40,GWIND,Utilities—Renewable
41,HALKB,Banks—Regional
42,HEKTS,Agricultural Inputs
43,INDES,Computer Hardware
44,IPEKE,Gold
45,ISCTR,Banks—Regional
46,ISDMR,Steel
47,ISFIN,Credit Services
48,ISGYO,REIT—Diversified
49,ISMEN,Capital Markets
50,JANTS,Auto Parts
51,KARSN,Auto Manufacturers
52,KARTN,Packaging & Containers
53,KCHOL,Conglomerates
54,KONTR,Conglomerates
55,KORDS,Textile Manufacturing
56,KOZAA,Other Industrial Metals & Mining
57,KOZAL,Gold
58,KRDMD,Steel
59,KUTPO,"Furnishings, Fixtures & Appliances"
60,KZBGY,REIT—Hotel & Motel
61,LOGO,Software—Application
62,MAVI,Apparel Retail
63,MGROS,Grocery Stores
64,NTHOL,Travel Services
65,NUGYO,REIT—Diversified
66,ODAS,Utilities—Regulated Electric
67,OTKAR,Auto Manufacturers
68,OYAKC,Building Materials
69,PARSN,Specialty Industrial Machinery
70,PETKM,Chemicals
71,PGSUS,Airlines
72,QUAGR,Building Products & Equipment
73,SAHOL,Banks—Regional
74,SASA,Textile Manufacturing
75,SELEC,Pharmaceutical Retailers
76,SISE,Specialty Chemicals
77,SKBNK,Banks—Regional
78,SNGYO,REIT—Residential
79,SOKM,Department Stores
80,TAVHL,Airports & Air Services
81,TCELL,Telecom Services
82,THYAO,Airlines
83,TKFEN,Engineering & Construction
84,TKNSA,Specialty Retail
85,TOASO,Auto Manufacturers
86,TTRAK,Farm & Heavy Construction Machinery
87,TRGYO,REIT—Retail
88,TRILC,Drug Manufacturers—Specialty & Generic
89,TSKB,Banks—Regional
90,TTKOM,Telecom Services
91,TUPRS,Oil & Gas Refining & Marketing
92,TURSG,Insurance—Property & Casualty
93,ULKER,Confectioners
94,VAKBN,Banks—Regional
95,VESBE,"Furnishings, Fixtures & Appliances"
96,VESTL,Consumer Electronics
97,YKBNK,Banks—Regional
98,ZOREN,Utilities—Diversified
99,ZRGYO,REIT—Diversified
