,HISSE,SEKTOR
0,AEFES,Consumer Defensive
1,AGHOL,Consumer Defensive
2,AKBNK,Financial Services
3,AKFGY,Real Estate
4,AKSA,Consumer Cyclical
5,AKSEN,Utilities
6,ALARK,Industrials
7,ALBRK,Financial Services
8,ALGYO,Real Estate
9,ALKIM,Basic Materials
10,ARCLK,Consumer Cyclical
11,ASELS,Industrials
12,AYDEM,Utilities
13,BAGFS,Basic Materials
14,BASGZ,Utilities
15,BERA,Industrials
16,BIMAS,Consumer Defensive
17,BRYAT,Basic Materials
18,BUCIM,Basic Materials
19,CCOLA,Consumer Defensive
20,CEMTS,Basic Materials
21,CIMSA,Basic Materials
22,DEVA,Healthcare
23,DOAS,Consumer Cyclical
24,DOHOL,Industrials
25,ECILC,Healthcare
26,EGEEN,Consumer Cyclical
27,EKGYO,Real Estate
28,ENJSA,Utilities
29,ENKAI,Industrials
30,ERBOS,Industrials
31,EREGL,Basic Materials
32,FROTO,Consumer Cyclical
33,GARAN,Financial Services
34,GENIL,Healthcare
35,GESAN,Industrials
36,GLYHO,Industrials
37,GOZDE,Financial Services
38,GSDHO,Financial Services
39,GUBRF,Basic Materials
40,GWIND,Utilities
41,HALKB,Financial Services
42,HEKTS,Basic Materials
43,IPEKE,Basic Materials
44,ISCTR,Financial Services
45,ISDMR,Basic Materials
46,ISFIN,Financial Services
47,ISGYO,Real Estate
48,ISMEN,Financial Services
49,JANTS,Consumer Cyclical
50,KARSN,Consumer Cyclical
51,KARTN,Consumer Cyclical
52,KCHOL,Industrials
53,KONTR,Industrials
54,KORDS,Consumer Cyclical
55,KOZAA,Basic Materials
56,KOZAL,Basic Materials
57,KRDMD,Basic Materials
58,LOGO,Technology
59,MAVI,Consumer Cyclical
60,MGROS,Consumer Defensive
61,NTHOL,Consumer Cyclical
62,NUGYO,Real Estate
63,ODAS,Utilities
64,OTKAR,Consumer Cyclical
65,OYAKC,Basic Materials
66,PETKM,Basic Materials
67,PGSUS,Industrials
68,PRKAB,Industrials
69,PSGYO,Real Estate
70,QUAGR,Industrials
71,SAHOL,Financial Services
72,SASA,Consumer Cyclical
73,SELEC,Healthcare
74,SISE,Basic Materials
75,SKBNK,Financial Services
76,SMRTG,Technology
77,SNGYO,Real Estate
78,SOKM,Consumer Cyclical
79,TAVHL,Industrials
80,TCELL,Communication Services
81,THYAO,Industrials
82,TKFEN,Industrials
83,TMSN,Industrials
84,TOASO,Consumer Cyclical
85,TRGYO,Real Estate
86,TSKB,Financial Services
87,TSPOR,Communication Services
88,TTKOM,Communication Services
89,TTRAK,Industrials
90,TUKAS,Consumer Defensive
91,TUPRS,Energy
92,TURSG,Financial Services
93,ULKER,Consumer Defensive
94,VAKBN,Financial Services
95,VESBE,Consumer Cyclical
96,VESTL,Technology
97,YATAS,Consumer Cyclical
98,YKBNK,Financial Services
99,YYLGD,Consumer Defensive
