,HISSE,SEKTOR
0,AEFES,Consumer Defensive
1,AGHOL,Industrials
2,AKBNK,Financial Services
3,AKSA,Consumer Cyclical
4,AKSEN,Utilities
5,ALARK,Industrials
6,ALGYO,Real Estate
7,ALKIM,Basic Materials
8,ARASE,Utilities
9,ARCLK,Consumer Cyclical
10,ARDYZ,Technology
11,ASELS,Industrials
12,AYDEM,Utilities
13,BASGZ,Utilities
14,BERA,Industrials
15,BIMAS,Consumer Defensive
16,BIOEN,Utilities
17,BRISA,Consumer Cyclical
18,BRYAT,Basic Materials
19,CANTE,Utilities
20,CCOLA,Consumer Defensive
21,CIMSA,Basic Materials
22,DEVA,Healthcare
23,DOAS,Consumer Cyclical
24,DOHOL,Industrials
25,ECILC,Healthcare
26,EGEEN,Consumer Cyclical
27,EKGYO,Real Estate
28,ENJSA,Utilities
29,ENKAI,Industrials
30,ERBOS,Industrials
31,EREGL,Basic Materials
32,ESEN,Utilities
33,FROTO,Consumer Cyclical
34,GARAN,Financial Services
35,GENIL,Healthcare
36,GLYHO,Industrials
37,GOZDE,Financial Services
38,GSDHO,Financial Services
39,GUBRF,Basic Materials
40,GWIND,Utilities
41,HALKB,Financial Services
42,HEKTS,Basic Materials
43,INDES,Technology
44,IPEKE,Basic Materials
45,ISCTR,Financial Services
46,ISDMR,Basic Materials
47,ISFIN,Financial Services
48,ISGYO,Real Estate
49,ISMEN,Financial Services
50,JANTS,Consumer Cyclical
51,KARSN,Consumer Cyclical
52,KARTN,Consumer Cyclical
53,KCHOL,Industrials
54,KONTR,Industrials
55,KORDS,Consumer Cyclical
56,KOZAA,Basic Materials
57,KOZAL,Basic Materials
58,KRDMD,Basic Materials
59,KUTPO,Consumer Cyclical
60,KZBGY,Real Estate
61,LOGO,Technology
62,MAVI,Consumer Cyclical
63,MGROS,Consumer Defensive
64,NTHOL,Consumer Cyclical
65,NUGYO,Real Estate
66,ODAS,Utilities
67,OTKAR,Consumer Cyclical
68,OYAKC,Basic Materials
69,PARSN ,Industrials
70,PETKM,Basic Materials
71,PGSUS,Industrials
72,QUAGR,Industrials
73,SAHOL,Financial Services
74,SASA,Consumer Cyclical
75,SELEC,Healthcare
76,SISE,Basic Materials
77,SKBNK,Financial Services
78,SNGYO,Real Estate
79,SOKM,Consumer Cyclical
80,TAVHL,Industrials
81,TCELL,Communication Services
82,THYAO,Industrials
83,TKFEN,Industrials
84,TKNSA,Consumer Cyclical
85,TOASO,Consumer Cyclical
86,TTRAK,Industrials
87,TRGYO,Real Estate
88,TRILC,Healthcare
89,TSKB,Financial Services
90,TTKOM,Communication Services
91,TUPRS,Energy
92,TURSG,Financial Services
93,ULKER,Consumer Defensive
94,VAKBN,Financial Services
95,VESBE,Consumer Cyclical
96,VESTL,Technology
97,YKBNK,Financial Services
98,ZOREN,Utilities
99,ZRGYO,Real Estate
