,HISSE,SEKTOR
0,AEFES,Consumer Defensive
1,AGHOL,Industrials
2,AKBNK,Financial Services
3,AKFGY,Real Estate
4,AKSA,Consumer Cyclical
5,AKSEN,Utilities
6,ALARK,Industrials
7,ALBRK,Financial Services
8,ALGYO,Real Estate
9,ALKIM,Basic Materials
10,ARCLK,Consumer Cyclical
11,ARDYZ,Technology
12,ASELS,Industrials
13,AYDEM,Utilities
14,BAGFS,Basic Materials
15,BASGZ,Utilities
16,BERA,Industrials
17,BIMAS,Consumer Defensive
18,BRYAT,Basic Materials
19,BUCIM,Basic Materials
20,CCOLA,Consumer Defensive
21,CEMTS,Basic Materials
22,CIMSA,Basic Materials
23,DEVA,Healthcare
24,DOAS,Consumer Cyclical
25,DOHOL,Industrials
26,ECILC,Healthcare
27,EGEEN,Consumer Cyclical
28,EKGYO,Real Estate
29,ENJSA,Utilities
30,ENKAI,Industrials
31,ERBOS,Industrials
32,EREGL,Basic Materials
33,FROTO,Consumer Cyclical
34,GARAN,Financial Services
35,GENIL,Healthcare
36,GLYHO,Industrials
37,GOZDE,Financial Services
38,GSDHO,Financial Services
39,GUBRF,Basic Materials
40,GWIND,Utilities
41,HALKB,Financial Services
42,HEKTS,Basic Materials
43,INDES,Technology
44,INVES,Financial Services
45,IPEKE,Basic Materials
46,ISCTR,Financial Services
47,ISDMR,Basic Materials
48,ISFIN,Financial Services
49,ISGYO,Real Estate
50,ISMEN,Financial Services
51,JANTS,Consumer Cyclical
52,KARSN,Consumer Cyclical
53,KCHOL,Industrials
54,KONTR,Industrials
55,KORDS,Consumer Cyclical
56,KOZAA,Basic Materials
57,KOZAL,Basic Materials
58,KRDMD,Basic Materials
59,LOGO,Technology
60,MAVI,Consumer Cyclical
61,MGROS,Consumer Defensive
62,NTHOL,Consumer Cyclical
63,NUGYO,Real Estate
64,ODAS,Utilities
65,OTKAR,Consumer Cyclical
66,OYAKC,Basic Materials
67,PARSN ,Industrials
68,PETKM,Basic Materials
69,PGSUS,Industrials
70,PSGYO,Real Estate
71,QUAGR,Industrials
72,SAHOL,Financial Services
73,SASA,Consumer Cyclical
74,SELEC,Healthcare
75,SISE,Basic Materials
76,SKBNK,Financial Services
77,SNGYO,Real Estate
78,SOKM,Consumer Cyclical
79,TAVHL,Industrials
80,TCELL,Communication Services
81,THYAO,Industrials
82,TKFEN,Industrials
83,TKNSA,Consumer Cyclical
84,TOASO,Consumer Cyclical
85,TTRAK,Industrials
86,TRGYO,Real Estate
87,TRILC,Healthcare
88,TSKB,Financial Services
89,TTKOM,Communication Services
90,TUPRS,Energy
91,TURSG,Financial Services
92,ULKER,Consumer Defensive
93,VAKBN,Financial Services
94,VESBE,Consumer Cyclical
95,VESTL,Technology
96,YATAS,Consumer Cyclical
97,YKBNK,Financial Services
98,ZOREN,Utilities
99,ZRGYO,Real Estate
