,HISSE,INDUSTRY
0,ADESE,Discount Stores
1,AEFES,Beverages—Brewers
2,AGHOL,Beverages—Non-Alcoholic
3,AKBNK,Banks—Regional
4,AKSA,Textile Manufacturing
5,AKSEN,Utilities—Renewable
6,ALARK,Conglomerates
7,ALGYO,REIT—Diversified
8,ALKIM,Paper & Paper Products
9,ARCLK,"Furnishings, Fixtures & Appliances"
10,ARDYZ,Software—Infrastructure
11,ASELS,Aerospace & Defense
12,AYDEM,Utilities—Renewable
13,BASGZ,Utilities—Regulated Gas
14,BERA,Conglomerates
15,BIMAS,Grocery Stores
16,BIOEN,Utilities—Renewable
17,BRISA,Auto Parts
18,BRYAT,Steel
19,CANTE,Utilities—Independent Power Producers
20,CCOLA,Beverages—Non-Alcoholic
21,CEMAS,Metal Fabrication
22,CIMSA,Building Materials
23,DEVA,Drug Manufacturers—Specialty & Generic
24,DOAS,Auto & Truck Dealerships
25,DOHOL,Conglomerates
26,ECILC,Drug Manufacturers—General
27,EGEEN,Auto Parts
28,EKGYO,REIT—Residential
29,ENJSA,Utilities—Regulated Electric
30,ENKAI,Engineering & Construction
31,ERBOS,Metal Fabrication
32,EREGL,Steel
33,ESEN,Utilities—Renewable
34,FROTO,Auto Manufacturers
35,GARAN,Banks—Regional
36,GENIL,Drug Manufacturers—Specialty & Generic
37,GESAN,Engineering & Construction
38,GLYHO,Conglomerates
39,GOZDE,Asset Management
40,GUBRF,Agricultural Inputs
41,HALKB,Banks—Regional
42,HEKTS,Agricultural Inputs
43,INDES,Computer Hardware
44,IPEKE,Gold
45,ISCTR,Banks—Regional
46,ISDMR,Steel
47,ISFIN,Credit Services
48,ISGYO,REIT—Diversified
49,ISMEN,Capital Markets
50,IZMDC,Steel
51,KARSN,Auto Manufacturers
52,KARTN,Packaging & Containers
53,KCHOL,Conglomerates
54,KERVT,Packaged Foods
55,KORDS,Textile Manufacturing
56,KOZAA,Other Industrial Metals & Mining
57,KOZAL,Gold
58,KRDMD,Steel
59,KRVGD,Confectioners
60,LOGO,Software—Application
61,MAVI,Apparel Retail
62,MGROS,Grocery Stores
63,NTHOL,Travel Services
64,ODAS,Utilities—Regulated Electric
65,OTKAR,Auto Manufacturers
66,OYAKC,Building Materials
67,PARSN,Specialty Industrial Machinery
68,PETKM,Chemicals
69,PGSUS,Airlines
70,QUAGR,Building Products & Equipment
71,RTALB,Biotechnology
72,SAHOL,Banks—Regional
73,SARKY,Copper
74,SASA,Textile Manufacturing
75,SELEC,Pharmaceutical Retailers
76,SISE,Specialty Chemicals
77,SKBNK,Banks—Regional
78,SOKM,Department Stores
79,TAVHL,Airports & Air Services
80,TCELL,Telecom Services
81,THYAO,Airlines
82,TKFEN,Engineering & Construction
83,TKNSA,Specialty Retail
84,TOASO,Auto Manufacturers
85,TTRAK,Farm & Heavy Construction Machinery
86,TRGYO,REIT—Retail
87,TSKB,Banks—Regional
88,TTKOM,Telecom Services
89,TUPRS,Oil & Gas Refining & Marketing
90,TURSG,Insurance—Property & Casualty
91,ULKER,Confectioners
92,VAKBN,Banks—Regional
93,VERUS,Asset Management
94,VESBE,"Furnishings, Fixtures & Appliances"
95,VESTL,Consumer Electronics
96,YATAS,"Furnishings, Fixtures & Appliances"
97,YKBNK,Banks—Regional
98,ZOREN,Utilities—Diversified
99,ZRGYO,REIT—Diversified
