,HISSE,Unnamed: 0,INDUSTRY-19,SEKTOR-19,pay kodu,Unnamed: 0,pay adi,1ceyrek,2ceyrek,3ceyrek,4ceyrek
0,ADESE,102,Discount Stores,Consumer Defensive,ADESE,104,ADESE ALIŞVERİŞ TİCARET ,,,XU100,
1,AEFES,0,Beverages/Brewers,Consumer Defensive,AEFES,8,ANADOLU EFES ,XU100,XU100,XU100,XU100
2,AFYON,110,Building Materials,Basic Materials,AFYON,0,AFYON ÇİMENTO ,XU100,XU100,XU100,XU100
3,AGHOL,103,Beverages/Non-Alcoholic,Consumer Defensive,AGHOL,105,ANADOLU GRUBU HOLDING,,,XU100,XU100
4,AKBNK,1,Banks/Regional,Financial Services,AKBNK,1,AKBANK ,XU100,XU100,XU100,XU100
5,AKSA,2,Textile Manufacturing,Consumer Cyclical,AKSA,2,AKSA ,XU100,XU100,XU100,XU100
6,AKSEN,3,Utilities/Renewable,Utilities,AKSEN,3,AKSA ENERJİ ,XU100,XU100,XU100,XU100
7,ALARK,4,Conglomerates,Industrials,ALARK,5,ALARKO HOLDİNG ,XU100,XU100,XU100,XU100
8,ALBRK,5,Banks/Regional,Financial Services,ALBRK,6,ALBARAKA TÜRK ,XU100,XU100,XU100,XU100
9,ALGYO,6,REIT/Diversified,Real Estate,ALGYO,4,ALARKO GMYO ,XU100,XU100,XU100,XU100
10,ANACM,7,BIRLES,BIRLES,ANACM,7,ANADOLU CAM ,XU100,XU100,XU100,XU100
11,ANELE,8,Engineering & Construction,Industrials,ANELE,9,ANEL ELEKTRİK ,XU100,,,
12,ARCLK,9,Furnishings & Fixtures & Appliances,Consumer Cyclical,ARCLK,10,ARÇELİK ,XU100,XU100,XU100,XU100
13,ASELS,10,Aerospace & Defense,Industrials,ASELS,11,ASELSAN ,XU100,XU100,XU100,XU100
14,AVOD,104,Packaged Foods,Consumer Defensive,AVOD,106,A.V.O.D GIDA VE TARIM ,,,XU100,XU100
15,BERA,11,Conglomerates,Industrials,BERA,12,BERA HOLDING,XU100,XU100,XU100,XU100
16,BIMAS,12,Grocery Stores,Consumer Defensive,BIMAS,14,BİM MAĞAZALAR ,XU100,XU100,XU100,XU100
17,BJKAS,13,Entertainment,Communication Services,BJKAS,13,BEŞİKTAŞ FUTBOL YAT. ,XU100,XU100,XU100,XU100
18,CCOLA,14,Beverages/Non-Alcoholic,Consumer Defensive,CCOLA,16,COCA COLA İÇECEK ,XU100,XU100,XU100,XU100
19,CEMAS,15,Metal Fabrication,Industrials,CEMAS,15,ÇEMAŞ DÖKÜM ,XU100,XU100,XU100,XU100
20,CEMTS,16,Steel,Basic Materials,CEMTS,18,ÇEMTAŞ ,XU100,XU100,XU100,XU100
21,CLEBI,17,Airports & Air Services,Industrials,CLEBI,17,ÇELEBİ ,XU100,XU100,XU100,XU100
22,DEVA,18,Drug Manufacturers/Specialty & Generic,Healthcare,DEVA,19,DEVA HOLDİNG ,XU100,,,XU100
23,DGKLB,19,ISIM DEGIS,ISIM DEGIS,DGKLB,21,DOĞTAŞ KELEBEK MOBİLYA ,XU100,XU100,XU100,XU100
24,DOAS,107,Auto & Truck Dealerships,Consumer Cyclical,DOAS,109,DOĞUŞ OTOMOTİV ,,,,XU100
25,DOHOL,20,Conglomerates,Industrials,DOHOL,20,DOĞAN HOLDİNG ,XU100,XU100,XU100,XU100
26,ECILC,21,Drug Manufacturers/General,Healthcare,ECILC,22,ECZACIBAŞI İLAÇ ,XU100,XU100,XU100,XU100
27,ECZYT,111,Conglomerates,Industrials,ECZYT,23,ECZACIBAŞI YATIRIM ,XU100,,,
28,EGEEN,22,Auto Parts,Consumer Cyclical,EGEEN,24,EGE ENDÜSTRİ ,XU100,XU100,XU100,XU100
29,EKGYO,23,REIT/Residential,Real Estate,EKGYO,25,EMLAK KONUT GMYO ,XU100,XU100,XU100,XU100
30,ENJSA,24,Utilities/Regulated Electric,Utilities,ENJSA,26,ENERJISA ENERJI,XU100,XU100,XU100,XU100
31,ENKAI,25,Engineering & Construction,Industrials,ENKAI,27,ENKA İNŞAAT ,XU100,XU100,XU100,XU100
32,EREGL,26,Steel,Basic Materials,EREGL,28,EREĞLİ DEMİR CELİK ,XU100,XU100,XU100,XU100
33,FENER,27,Entertainment,Communication Services,FENER,29,FENERBAHÇE FUTBOL ,XU100,XU100,XU100,XU100
34,FLAP,28,Travel Services,Consumer Cyclical,FLAP,30,FLAP KONGRE TOPLANTI HİZ. ,XU100,,,
35,FROTO,29,Auto Manufacturers,Consumer Cyclical,FROTO,31,FORD OTOSAN ,XU100,XU100,XU100,XU100
36,GARAN,30,Banks/Regional,Financial Services,GARAN,33,GARANTİ BANKASI ,XU100,XU100,XU100,XU100
