,HISSE,INDUSTRY-22,SEKTOR-22,INDUSTRY-21,SEKTOR-21,INDUSTRY-20,SEKTOR-20,INDUSTRY-19,SEKTOR-19
57,EREGL,Steel,Basic Materials,Steel,Basic Materials,Steel,Basic Materials,Steel,Basic Materials
58,ESEN,Utilities/Renewable,Utilities,Utilities/Renewable,Utilities,,,,
59,FENER,,,Entertainment,Communication Services,,,Entertainment,Communication Services
60,FLAP,,,,,,,Travel Services,Consumer Cyclical
61,FROTO,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical
62,GARAN,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services
63,GENIL,Drug Manufacturers/Specialty & Generic,Healthcare,,,,,,
64,GENTS,,,,,,,Furnishings & Fixtures & Appliances,Consumer Cyclical
65,GEREL,,,,,,,Electrical Equipment & Parts,Industrials
66,GESAN,Engineering & Construction,Industrials,,,,,,
67,GLYHO,Conglomerates,Industrials,Conglomerates,Industrials,Conglomerates,Industrials,Conglomerates,Industrials
68,GOLTS,,,,,,,Building Materials,Basic Materials
69,GOODY,,,Auto Parts,Consumer Cyclical,Auto Parts,Consumer Cyclical,Auto Parts,Consumer Cyclical
70,GOZDE,Asset Management,Financial Services,Asset Management,Financial Services,Asset Management,Financial Services,Asset Management,Financial Services
71,GSDHO,Asset Management,Financial Services,Asset Management,Financial Services,Asset Management,Financial Services,Asset Management,Financial Services
72,GSRAY,,,Entertainment,Communication Services,,,Entertainment,Communication Services
73,GUBRF,Agricultural Inputs,Basic Materials,Agricultural Inputs,Basic Materials,Agricultural Inputs,Basic Materials,Agricultural Inputs,Basic Materials
74,GWIND,Utilities/Renewable,Utilities,,,,,,
75,HALKB,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services,Banks/Regional,Financial Services
76,HDFGS,,,Asset Management,Financial Services,,,,
