,HISSE,Unnamed: 0,INDUSTRY-20,SEKTOR-20,pay kodu,Unnamed: 0,pay adi,1ceyrek,2ceyrek,3ceyrek,4ceyrek,5ceyrek
0,AEFES,0,Beverages/Brewers,Consumer Defensive,AEFES,9.0,ANADOLU EFES,XU100,XU100,XU100,XU100,XU100
1,AGHOL,1,Beverages/Non-Alcoholic,Consumer Defensive,AGHOL,0.0,ANADOLU GRUBU HOLDING,XU100,XU100,XU100,XU100,XU100
2,AKBNK,2,Banks/Regional,Financial Services,AKBNK,1.0,AKBANK,XU100,XU100,XU100,XU100,XU100
3,AKCNS,99,Building Materials,Basic Materials,AKCNS,96.0,AKCANSA,,XU100,XU100,XU100,XU100
4,AKGRT,3,Insurance/Diversified,Financial Services,AKGRT,4.0,AKSIGORTA,XU100,XU100,XU100,XU100,XU100
5,AKSA,4,Textile Manufacturing,Consumer Cyclical,AKSA,2.0,AKSA,XU100,XU100,XU100,XU100,XU100
6,AKSEN,5,Utilities/Renewable,Utilities,AKSEN,3.0,AKSA ENERJI,XU100,XU100,XU100,XU100,XU100
7,AKSGY,106,REIT/Diversified,Real Estate,AKSGY,106.0,AKIS GMYO,,,,,XU100
8,ALARK,6,Conglomerates,Industrials,ALARK,6.0,ALARKO HOLDING,XU100,XU100,XU100,XU100,XU100
9,ALBRK,7,Banks/Regional,Financial Services,ALBRK,7.0,ALBARAKA TURK,XU100,XU100,XU100,XU100,XU100
10,ALCTL,107,Communication Equipment,Technology,ALCTL,107.0,ALCATEL LUCENT TELETAS,,,,,XU100
11,ALGYO,8,REIT/Diversified,Real Estate,ALGYO,5.0,ALARKO GMYO,XU100,XU100,XU100,XU100,XU100
12,ALKIM,9,Paper & Paper Products,Basic Materials,ALKIM,8.0,ALKIM KIMYA,XU100,XU100,XU100,XU100,XU100
13,ANACM,10,BIRLES,BIRLES,ANHYT,10.0,ANADOLU HAYAT EMEK.,XU100,XU100,XU100,,
14,ANHYT,11,Insurance/Life,Financial Services,ARCLK,11.0,ARCELIK,XU100,XU100,XU100,XU100,XU100
15,ARCLK,12,Furnishings & Fixtures & Appliances,Consumer Cyclical,ARDYZ,105.0,ARD BILISIM TEKNOLOJILERI,,,,,XU100
16,ARDYZ,108,Software/Infrastructure,Technology,ASELS,12.0,ASELSAN,XU100,XU100,XU100,XU100,XU100
17,ASELS,13,Aerospace & Defense,Industrials,AYGAZ,13.0,AYGAZ,XU100,XU100,XU100,XU100,XU100
18,AYGAZ,14,Utilities/Regulated Gas,Utilities,BAGFS,102.0,BAGFAS,,,,XU100,XU100
19,BIMAS,15,Grocery Stores,Consumer Defensive,BIMAS,15.0,BIM MAGAZALAR,XU100,XU100,XU100,XU100,XU100
20,BIZIM,16,Department Stores,Consumer Cyclical,BIZIM,16.0,BIZIM MAGAZALARI,XU100,XU100,XU100,XU100,XU100
21,BRISA,17,Auto Parts,Consumer Cyclical,BRISA,18.0,BRISA,XU100,XU100,XU100,XU100,XU100
22,BRSAN,18,Steel,Basic Materials,BRSAN,17.0,BORUSAN MANNESMANN,XU100,XU100,XU100,XU100,XU100
23,BTCIM,19,Building Materials,Basic Materials,BTCIM,14.0,BATI CIMENTO,XU100,,,,
24,BUCIM,20,Building Materials,Basic Materials,BUCIM,19.0,BURSA CIMENTO,XU100,XU100,XU100,XU100,XU100
25,CCOLA,21,Beverages/Non-Alcoholic,Consumer Defensive,CCOLA,20.0,COCA COLA ICECEK,XU100,XU100,XU100,XU100,XU100
