,HISSE,Unnamed: 0,INDUSTRY-22,SEKTOR-22,pay kodu,Unnamed: 0,pay adi,1ceyrek,2ceyrek,3ceyrek,4ceyrek
53,IPEKE,44,Gold,Basic Materials,IPEKE,44,IPEK DOGAL ENERJI,XU100,XU100,XU100,XU100
54,ISCTR,45,Banks/Regional,Financial Services,ISCTR,45,IS BANKASI (C),XU100,XU100,XU100,XU100
55,ISDMR,46,Steel,Basic Materials,ISDMR,46,ISKENDERUN DEMIR CELIK,XU100,XU100,XU100,XU100
56,ISFIN,47,Credit Services,Financial Services,ISFIN,47,IS FIN.KIR.,XU100,XU100,XU100,XU100
57,ISGYO,48,REIT/Diversified,Real Estate,ISGYO,48,IS GMYO,XU100,XU100,XU100,XU100
58,ISMEN,49,Capital Markets,Financial Services,ISMEN,49,IS Y. MEN. DEG.,XU100,XU100,XU100,XU100
59,IZMDC,50,Steel,Basic Materials,IZMDC,50,IZMIR DEMIR CELIK,XU100,,,
60,JANTS,102,Auto Parts,Consumer Cyclical,JANTS,103,JANTSA JANT SANAYI,,XU100,XU100,XU100
61,KARSN,51,Auto Manufacturers,Consumer Cyclical,KARSN,51,KARSAN OTOMOTIV,XU100,XU100,XU100,XU100
62,KARTN,52,Packaging & Containers,Consumer Cyclical,KARTN,52,KARTONSAN,XU100,XU100,,XU100
63,KCHOL,53,Conglomerates,Industrials,KCHOL,53,KOC HOLDING,XU100,XU100,XU100,XU100
64,KERVT,54,Packaged Foods,Consumer Defensive,KERVT,54,KEREVITAS GIDA,XU100,,,
65,KONTR,103,Conglomerates,Industrials,KONTR,104,KONTROLMATIK TEKNOLOJI,,XU100,XU100,XU100
66,KORDS,55,Textile Manufacturing,Consumer Cyclical,KORDS,55,KORDSA TEKNIK TEKSTIL,XU100,XU100,XU100,XU100
67,KOZAA,56,Other Industrial Metals & Mining,Basic Materials,KOZAA,56,KOZA MADENCILIK,XU100,XU100,XU100,XU100
68,KOZAL,57,Gold,Basic Materials,KOZAL,57,KOZA ALTIN,XU100,XU100,XU100,XU100
69,KRDMD,58,Steel,Basic Materials,KRDMD,58,KARDEMIR (D),XU100,XU100,XU100,XU100
70,KRVGD,59,Confectioners,Consumer Defensive,KRVGD,59,KERVAN GIDA,XU100,,,
71,KUTPO,104,Furnishings & Fixtures & Appliances,Consumer Cyclical,KUTPO,105,KUTAHYA PORSELEN,,XU100,,
72,KZBGY,105,REIT/Hotel & Motel,Real Estate,KZBGY,106,KIZILBUK GYO,,XU100,,
73,LOGO,60,Software/Application,Technology,LOGO,60,LOGO YAZILIM,XU100,XU100,XU100,XU100
74,MAVI,61,Apparel Retail,Consumer Cyclical,MAVI,61,MAVI GIYIM,XU100,XU100,XU100,XU100
75,MGROS,62,Grocery Stores,Consumer Defensive,MGROS,62,MIGROS TICARET,XU100,XU100,XU100,XU100
76,NTHOL,63,Travel Services,Consumer Cyclical,NTHOL,63,NET HOLDING,XU100,XU100,XU100,XU100
77,NUGYO,106,REIT/Diversified,Real Estate,NUGYO,107,NUROL GMYO,,XU100,XU100,XU100
78,ODAS,64,Utilities/Regulated Electric,Utilities,ODAS,64,ODAS ELEKTRIK,XU100,XU100,XU100,XU100
79,OTKAR,65,Auto Manufacturers,Consumer Cyclical,OTKAR,65,OTOKAR,XU100,XU100,XU100,XU100
80,OYAKC,66,Building Materials,Basic Materials,OYAKC,66,OYAK CIMENTO,XU100,XU100,XU100,XU100
81,PARSN,122,Specialty Industrial Machinery,Industrials,PARSN,67,PARSAN,XU100,XU100,XU100,
82,PETKM,67,Chemicals,Basic Materials,PETKM,68,PETKIM,XU100,XU100,XU100,XU100
83,PGSUS,68,Airlines,Industrials,PGSUS,69,PEGASUS,XU100,XU100,XU100,XU100
84,PRKAB,116,Electrical Equipment & Parts,Industrials,PRKAB,117,TURK PRYSMIAN KABLO,,,,XU100
85,PSGYO,115,REIT/Diversified,Real Estate,PSGYO,116,PASIFIK GMYO,,,XU100,XU100
86,QUAGR,69,Building Products & Equipment,Industrials,QUAGR,70,QUA GRANITE HAYAL YAPI,XU100,XU100,XU100,XU100
87,RTALB,70,Biotechnology,Healthcare,RTALB,71,RTA LABORATUVARLARI,XU100,,,
88,SAHOL,71,Banks/Regional,Financial Services,SAHOL,72,SABANCI HOLDING,XU100,XU100,XU100,XU100
89,SARKY,72,Copper,Basic Materials,SARKY,73,SARKUYSAN,XU100,,,
90,SASA,73,Textile Manufacturing,Consumer Cyclical,SASA,74,SASA POLYESTER,XU100,XU100,XU100,XU100
91,SELEC,74,Pharmaceutical Retailers,Healthcare,SELEC,75,SELCUK ECZA DEPOSU,XU100,XU100,XU100,XU100
92,SISE,75,Specialty Chemicals,Basic Materials,SISE,76,SISE CAM,XU100,XU100,XU100,XU100
93,SKBNK,76,Banks/Regional,Financial Services,SKBNK,77,SEKERBANK,XU100,XU100,XU100,XU100
94,SMRTG,117,Solar,Technology,SMRTG,118,SMART GUNES ENERJISI TEK.,,,,XU100
95,SNGYO,107,REIT/Residential,Real Estate,SNGYO,108,SINPAS GMYO,,XU100,XU100,XU100
96,SOKM,77,Department Stores,Consumer Cyclical,SOKM,78,SOK MARKETLER TICARET,XU100,XU100,XU100,XU100
97,TAVHL,78,Airports & Air Services,Industrials,TAVHL,79,TAV HAVALIMANLARI,XU100,XU100,XU100,XU100
98,TCELL,79,Telecom Services,Communication Services,TCELL,80,TURKCELL,XU100,XU100,XU100,XU100
99,THYAO,80,Airlines,Industrials,THYAO,81,TURK HAVA YOLLARI,XU100,XU100,XU100,XU100
100,TKFEN,81,Engineering & Construction,Industrials,TKFEN,82,TEKFEN HOLDING,XU100,XU100,XU100,XU100
101,TKNSA,82,Specialty Retail,Consumer Cyclical,TKNSA,83,TEKNOSA IC VE DIS TICARET,XU100,XU100,XU100,
102,TMSN,118,Farm & Heavy Construction Machinery,Industrials,TMSN,119,TUMOSAN MOTOR VE TRAKTOR,,,,XU100
103,TOASO,83,Auto Manufacturers,Consumer Cyclical,TOASO,84,TOFAS OTO. FAB.,XU100,XU100,XU100,XU100
104,TRGYO,85,REIT/Retail,Real Estate,TRGYO,85,TORUNLAR GMYO,XU100,XU100,XU100,XU100
105,TRILC,108,Drug Manufacturers/Specialty & Generic,Healthcare,TRILC,109,TURK ILAC SERUM,,XU100,XU100,
106,TSKB,86,Banks/Regional,Financial Services,TSKB,86,T.S.K.B.,XU100,XU100,XU100,XU100
107,TSPOR,119,Broadcasting,Communication Services,TSPOR,120,TRABZONSPOR SPORTIF,,,,XU100
108,TTKOM,87,Telecom Services,Communication Services,TTKOM,87,TURK TELEKOM,XU100,XU100,XU100,XU100
109,TTRAK,84,Farm & Heavy Construction Machinery,Industrials,TTRAK,88,TURK TRAKTOR,XU100,XU100,XU100,XU100
110,TUKAS,120,Packaged Foods,Consumer Defensive,TUKAS,121,TUKAS,,,,XU100
111,TUPRS,88,Oil & Gas Refining & Marketing,Energy,TUPRS,89,TUPRAS,XU100,XU100,XU100,XU100
112,TURSG,89,Insurance/Property & Casualty,Financial Services,TURSG,90,TURKIYE SIGORTA,XU100,XU100,XU100,XU100
113,ULKER,90,Confectioners,Consumer Defensive,ULKER,91,ULKER BISKUVI,XU100,XU100,XU100,XU100
114,VAKBN,91,Banks/Regional,Financial Services,VAKBN,92,VAKIFLAR BANKASI,XU100,XU100,XU100,XU100
115,VERUS,92,Asset Management,Financial Services,VERUS,93,VERUSA HOLDING,XU100,,,
116,VESBE,93,Furnishings & Fixtures & Appliances,Consumer Cyclical,VESBE,94,VESTEL BEYAZ ESYA,XU100,XU100,XU100,XU100
117,VESTL,94,Consumer Electronics,Technology,VESTL,95,VESTEL,XU100,XU100,XU100,XU100
118,YATAS,95,Furnishings & Fixtures & Appliances,Consumer Cyclical,YATAS,96,YATAS,XU100,,XU100,XU100
119,YKBNK,96,Banks/Regional,Financial Services,YKBNK,97,YAPI VE KREDI BANK.,XU100,XU100,XU100,XU100
120,YYLGD,121,Farm Products,Consumer Defensive,YYLGD,122,YAYLA GIDA,,,,XU100
121,ZOREN,97,Utilities/Diversified,Utilities,ZOREN,98,ZORLU ENERJI,XU100,XU100,XU100,
122,ZRGYO,98,REIT/Diversified,Real Estate,ZRGYO,99,ZIRAAT GMYO,XU100,XU100,XU100,
