,HISSE,Unnamed: 0,INDUSTRY-21,SEKTOR-21,pay kodu,Unnamed: 0,pay adi,1ceyrek,2ceyrek,3ceyrek,4ceyrek,5ceyrek
45,ESEN,100,Utilities/Renewable,Utilities,ESEN,101,ESENBOGA ELEKTRIK,,XU100,XU100,XU100,XU100
46,FENER,101,Entertainment,Communication Services,FENER,102,FENERBAHCE FUTBOL,,XU100,XU100,XU100,
47,FROTO,36,Auto Manufacturers,Consumer Cyclical,FROTO,36,FORD OTOSAN,XU100,XU100,XU100,XU100,XU100
48,GARAN,37,Banks/Regional,Financial Services,GARAN,37,GARANTI BANKASI,XU100,XU100,XU100,XU100,XU100
49,GLYHO,111,Conglomerates,Industrials,GLYHO,116,GLOBAL YAT. HOLDING,,,,XU100,XU100
50,GOODY,38,Auto Parts,Consumer Cyclical,GOODY,38,GOOD-YEAR,XU100,XU100,XU100,,
51,GOZDE,39,Asset Management,Financial Services,GOZDE,39,GOZDE GIRISIM,XU100,XU100,XU100,XU100,XU100
52,GSDHO,40,Asset Management,Financial Services,GSDHO,40,GSD HOLDING,XU100,XU100,XU100,,
53,GSRAY,112,Entertainment,Communication Services,GSRAY,115,GALATASARAY SPORTIF,,,,XU100,
54,GUBRF,41,Agricultural Inputs,Basic Materials,GUBRF,41,GUBRE FABRIK.,XU100,XU100,XU100,XU100,XU100
55,HALKB,42,Banks/Regional,Financial Services,HALKB,80,T. HALK BANKASI,XU100,XU100,XU100,XU100,XU100
56,HDFGS,113,Asset Management,Financial Services,HDFGS,117,HEDEF GIRISIM,,,,XU100,
57,HEKTS,43,Agricultural Inputs,Basic Materials,HEKTS,43,HEKTAS,XU100,XU100,XU100,XU100,XU100
58,HLGYO,44,REIT/Diversified,Real Estate,HLGYO,42,HALK GMYO,XU100,XU100,XU100,,XU100
59,IHLAS,128,Conglomerates,Industrials,IHLAS,103,IHLAS HOLDING,,XU100,XU100,XU100,
60,IHLGM,45,Real Estate/Diversified,Real Estate,IHLGM,44,IHLAS GAYRIMENKUL,XU100,XU100,XU100,XU100,
61,INDES,46,Computer Hardware,Technology,INDES,45,INDEKS BILGISAYAR,XU100,XU100,XU100,XU100,XU100
62,IPEKE,47,Gold,Basic Materials,IPEKE,46,IPEK DOGAL ENERJI,XU100,XU100,XU100,XU100,
63,ISCTR,48,Banks/Regional,Financial Services,ISCTR,47,IS BANKASI (C),XU100,XU100,XU100,XU100,XU100
64,ISDMR,120,Steel,Basic Materials,ISDMR,48,ISKENDERUN DEMIR CELIK,XU100,,,,XU100
65,ISFIN,49,Credit Services,Financial Services,ISFIN,49,IS FIN.KIR.,XU100,XU100,XU100,XU100,XU100
66,ISGYO,50,REIT/Diversified,Real Estate,ISGYO,50,IS GMYO,XU100,XU100,XU100,XU100,XU100
67,ISMEN,51,Capital Markets,Financial Services,ISMEN,51,IS Y. MEN. DEG.,XU100,XU100,XU100,XU100,XU100
68,IZMDC,121,Steel,Basic Materials,IZMDC,125,IZMIR DEMIR CELIK,,,,,XU100
69,JANTS,102,Auto Parts,Consumer Cyclical,JANTS,104,JANTSA JANT SANAYI,,XU100,XU100,XU100,
70,KARSN,52,Auto Manufacturers,Consumer Cyclical,KARSN,53,KARSAN OTOMOTIV,XU100,XU100,XU100,XU100,XU100
71,KARTN,53,Packaging & Containers,Consumer Cyclical,KARTN,54,KARTONSAN,XU100,XU100,XU100,XU100,XU100
72,KCHOL,54,Conglomerates,Industrials,KCHOL,56,KOC HOLDING,XU100,XU100,XU100,XU100,XU100
73,KERVT,55,Packaged Foods,Consumer Defensive,KERVT,55,KEREVITAS GIDA,XU100,XU100,XU100,XU100,XU100
74,KONYA,56,Building Materials,Basic Materials,KONYA,57,KONYA CIMENTO,XU100,XU100,XU100,XU100,
75,KORDS,57,Textile Manufacturing,Consumer Cyclical,KORDS,58,KORDSA TEKNIK TEKSTIL,XU100,XU100,XU100,XU100,XU100
76,KOZAA,58,Other Industrial Metals & Mining,Basic Materials,KOZAA,60,KOZA MADENCILIK,XU100,XU100,XU100,XU100,XU100
77,KOZAL,59,Gold,Basic Materials,KOZAL,59,KOZA ALTIN,XU100,XU100,XU100,XU100,XU100
78,KRDMD,60,Steel,Basic Materials,KRDMD,52,KARDEMIR (D),XU100,XU100,XU100,XU100,XU100
79,KRVGD,103,Confectioners,Consumer Defensive,KRVGD,105,KERVAN GIDA,,XU100,XU100,XU100,XU100
80,LOGO,61,Software/Application,Technology,LOGO,61,LOGO YAZILIM,XU100,,,XU100,XU100
81,MAVI,62,Apparel Retail,Consumer Cyclical,MAVI,62,MAVI GIYIM,XU100,XU100,XU100,,XU100
82,MGROS,63,Grocery Stores,Consumer Defensive,MGROS,64,MIGROS TICARET,XU100,XU100,XU100,XU100,XU100
83,MPARK,64,Medical Care Facilities,Healthcare,MPARK,63,MLP SAGLIK,XU100,XU100,XU100,XU100,XU100
84,NETAS,65,Communication Equipment,Technology,NETAS,66,NETAS TELEKOM.,XU100,XU100,XU100,XU100,XU100
85,NTHOL,66,Travel Services,Consumer Cyclical,NTHOL,65,NET HOLDING,XU100,XU100,XU100,XU100,
86,NUHCM,104,Building Materials,Basic Materials,NUHCM,106,NUH CIMENTO,,XU100,XU100,XU100,
87,ODAS,67,Utilities/Regulated Electric,Utilities,ODAS,67,ODAS ELEKTRIK,XU100,XU100,XU100,XU100,XU100
