,HISSE,SEKTOR
0,AEFES,Consumer Defensive
1,AFYON,Basic Materials
2,AKBNK,Financial Services
3,AKSA,Consumer Cyclical
4,AKSEN,Utilities
5,ALARK,Industrials
6,ALBRK,Financial Services
7,ALGYO,Real Estate
8,ALKIM,Basic Materials
9,ARCLK,Consumer Cyclical
10,ASELS,Industrials
11,BERA,Industrials
12,BIMAS,Consumer Defensive
13,BRISA,Consumer Cyclical
14,BRSAN,Basic Materials
15,BRYAT,Basic Materials
16,CCOLA,Consumer Defensive
17,CEMAS,Industrials
18,CEMTS,Basic Materials
19,CIMSA,Basic Materials
20,DEVA,Healthcare
21,DOAS,Consumer Cyclical
22,DOHOL,Industrials
23,ECILC,Healthcare
24,ECZYT,Industrials
25,EGEEN,Consumer Cyclical
26,EGGUB,Basic Materials
27,EKGYO,Real Estate
28,ENJSA,Utilities
29,ENKAI,Industrials
30,ERBOS,Industrials
31,EREGL,Basic Materials
32,ESEN,Utilities
33,FENER,Communication Services
34,FROTO,Consumer Cyclical
35,GARAN,Financial Services
36,GLYHO,Industrials
37,GOZDE,Financial Services
38,GSRAY,Communication Services
39,GUBRF,Basic Materials
40,HALKB,Financial Services
41,HDFGS,Financial Services
42,HEKTS,Basic Materials
43,IHLAS ,Industrials
44,IHLGM,Real Estate
45,INDES,Technology
46,IPEKE,Basic Materials
47,ISCTR,Financial Services
48,ISFIN,Financial Services
49,ISGYO,Real Estate
50,ISMEN,Financial Services
51,JANTS,Consumer Cyclical
52,KARSN,Consumer Cyclical
53,KARTN,Consumer Cyclical
54,KCHOL,Industrials
55,KERVT,Consumer Defensive
56,KONYA,Basic Materials
57,KORDS,Consumer Cyclical
58,KOZAA,Basic Materials
59,KOZAL,Basic Materials
60,KRDMD,Basic Materials
61,KRVGD,Consumer Defensive
62,LOGO,Technology
63,MGROS,Consumer Defensive
64,MPARK,Healthcare
65,NETAS,Technology
66,NTHOL,Consumer Cyclical
67,NUHCM,Basic Materials
68,ODAS,Utilities
69,OTKAR,Consumer Cyclical
70,OYAKC,Basic Materials
71,PARSN ,Industrials
72,PETKM,Basic Materials
73,PGSUS,Industrials
74,RTALB,Healthcare
75,SAHOL,Financial Services
76,SASA,Consumer Cyclical
77,SELEC,Healthcare
78,SISE,Basic Materials
79,SKBNK,Financial Services
80,SOKM,Consumer Cyclical
81,TAVHL,Industrials
82,TCELL,Communication Services
83,THYAO,Industrials
84,TKFEN,Industrials
85,TKNSA,Consumer Cyclical
86,TOASO,Consumer Cyclical
87,TTRAK,Industrials
88,TRGYO,Real Estate
89,TSKB,Financial Services
90,TTKOM,Communication Services
91,TUPRS,Energy
92,TURSG,Financial Services
93,ULKER,Consumer Defensive
94,VAKBN,Financial Services
95,VERUS,Financial Services
96,VESBE,Consumer Cyclical
97,VESTL,Technology
98,YKBNK,Financial Services
99,ZOREN,Utilities
