,HISSE,INDUSTRY
0,AEFES,Beverages—Brewers
1,AKBNK,Banks—Regional
2,AKSA,Textile Manufacturing
3,AKSEN,Utilities—Renewable
4,AKSGY,REIT—Diversified
5,ALARK,Conglomerates
6,ALBRK,Banks—Regional
7,ALGYO,REIT—Diversified
8,ALKIM,Paper & Paper Products
9,ARCLK,"Furnishings, Fixtures & Appliances"
10,ASELS,Aerospace & Defense
11,BERA,Conglomerates
12,BIMAS,Grocery Stores
13,BRISA,Auto Parts
14,BRSAN,Steel
15,BUCIM,Building Materials
16,CCOLA,Beverages—Non-Alcoholic
17,CEMAS,Metal Fabrication
18,CEMTS,Steel
19,CIMSA,Building Materials
20,DEVA,Drug Manufacturers—Specialty & Generic
21,DOAS,Auto & Truck Dealerships
22,DOHOL,Conglomerates
23,ECILC,Drug Manufacturers—General
24,ECZYT,Conglomerates
25,EGEEN,Auto Parts
26,EGGUB,Agricultural Inputs
27,EKGYO,REIT—Residential
28,ENJSA,Utilities—Regulated Electric
29,EREGL,Steel
30,ESEN,Utilities—Renewable
31,FENER,Entertainment
32,FROTO,Auto Manufacturers
33,GARAN,Banks—Regional
34,GOODY,Auto Parts
35,GOZDE,Asset Management
36,GSDHO,Asset Management
37,GUBRF,Agricultural Inputs
38,HALKB,Banks—Regional
39,HEKTS,Agricultural Inputs
40,HLGYO,REIT—Diversified
41,IHLAS,Conglomerates
42,IHLGM,Real Estate—Diversified
43,INDES,Computer Hardware
44,IPEKE,Gold
45,ISCTR,Banks—Regional
46,ISFIN,Credit Services
47,ISGYO,REIT—Diversified
48,ISMEN,Capital Markets
49,JANTS,Auto Parts
50,KARSN,Auto Manufacturers
51,KARTN,Packaging & Containers
52,KCHOL,Conglomerates
53,KERVT,Packaged Foods
54,KONYA,Building Materials
55,KORDS,Textile Manufacturing
56,KOZAA,Other Industrial Metals & Mining
57,KOZAL,Gold
58,KRDMD,Steel
59,KRVGD,Confectioners
60,MAVI,Apparel Retail
61,MGROS,Grocery Stores
62,MPARK,Medical Care Facilities
63,NETAS,Communication Equipment
64,NTHOL,Travel Services
65,NUHCM,Building Materials
66,ODAS,Utilities—Regulated Electric
67,OTKAR,Auto Manufacturers
68,OYAKC,Building Materials
69,PARSN,Specialty Industrial Machinery
70,PETKM,Chemicals
71,PGSUS,Airlines
72,POLHO,Specialty Chemicals
73,SAHOL,Banks—Regional
74,SASA,Textile Manufacturing
75,SELEC,Pharmaceutical Retailers
76,SISE,Specialty Chemicals
77,SKBNK,Banks—Regional
78,SOKM,Department Stores
79,TATGD,Packaged Foods
80,TAVHL,Airports & Air Services
81,TCELL,Telecom Services
82,THYAO,Airlines
83,TKFEN,Engineering & Construction
84,TKNSA,Specialty Retail
85,TOASO,Auto Manufacturers
86,TTRAK,Farm & Heavy Construction Machinery
87,TRGYO,REIT—Retail
88,TSKB,Banks—Regional
89,TTKOM,Telecom Services
90,TUKAS,Packaged Foods
91,TUPRS,Oil & Gas Refining & Marketing
92,TURSG,Insurance—Property & Casualty
93,ULKER,Confectioners
94,VAKBN,Banks—Regional
95,VERUS,Asset Management
96,VESTL,Consumer Electronics
97,YATAS,"Furnishings, Fixtures & Appliances"
98,YKBNK,Banks—Regional
99,ZOREN,Utilities—Diversified
