,HISSE,INDUSTRY
0,AEFES,Beverages—Brewers
1,AGHOL,Beverages—Non-Alcoholic
2,AKBNK,Banks—Regional
3,AKCNS,Building Materials
4,AKGRT,Insurance—Diversified
5,AKSA,Textile Manufacturing
6,AKSEN,Utilities—Renewable
7,AKSGY,REIT—Diversified
8,ALARK,Conglomerates
9,ALBRK,Banks—Regional
10,ALCTL,Communication Equipment
11,ALGYO,REIT—Diversified
12,ALKIM,Paper & Paper Products
13,ARCLK,"Furnishings, Fixtures & Appliances"
14,ASELS,Aerospace & Defense
15,AYGAZ,Utilities—Regulated Gas
16,BERA,Conglomerates
17,BIMAS,Grocery Stores
18,BIZIM,Department Stores
19,BRISA,Auto Parts
20,BRSAN,Steel
21,BUCIM,Building Materials
22,CCOLA,Beverages—Non-Alcoholic
23,CEMTS,Steel
24,CIMSA,Building Materials
25,DEVA,Drug Manufacturers—Specialty & Generic
26,DOAS,Auto & Truck Dealerships
27,DOHOL,Conglomerates
28,ECILC,Drug Manufacturers—General
29,ECZYT,Conglomerates
30,EGEEN,Auto Parts
31,EGGUB,Agricultural Inputs
32,EKGYO,REIT—Residential
33,ENJSA,Utilities—Regulated Electric
34,ENKAI,Engineering & Construction
35,EREGL,Steel
36,FROTO,Auto Manufacturers
37,GARAN,Banks—Regional
38,GOODY,Auto Parts
39,GOZDE,Asset Management
40,GSDHO,Asset Management
41,GUBRF,Agricultural Inputs
42,HALKB,Banks—Regional
43,HEKTS,Agricultural Inputs
44,HLGYO,REIT—Diversified
45,IHLGM,Real Estate—Diversified
46,INDES,Computer Hardware
47,IPEKE,Gold
48,ISCTR,Banks—Regional
49,ISDMR,Steel
50,ISFIN,Credit Services
51,ISGYO,REIT—Diversified
52,ISMEN,Capital Markets
53,KARSN,Auto Manufacturers
54,KARTN,Packaging & Containers
55,KCHOL,Conglomerates
56,KERVT,Packaged Foods
57,KONYA,Building Materials
58,KORDS,Textile Manufacturing
59,KOZAA,Other Industrial Metals & Mining
60,KOZAL,Gold
61,KRDMD,Steel
62,LOGO,Software—Application
63,MAVI,Apparel Retail
64,MGROS,Grocery Stores
65,MPARK,Medical Care Facilities
66,NETAS,Communication Equipment
67,NTHOL,Travel Services
68,ODAS,Utilities—Regulated Electric
69,OTKAR,Auto Manufacturers
70,OYAKC,Building Materials
71,OZKGY,REIT—Diversified
72,PETKM,Chemicals
73,PGSUS,Airlines
74,PNSUT,Packaged Foods
75,SAHOL,Banks—Regional
76,SASA,Textile Manufacturing
77,SELEC,Pharmaceutical Retailers
78,SISE,Specialty Chemicals
79,SKBNK,Banks—Regional
80,SOKM,Department Stores
81,TATGD,Packaged Foods
82,TAVHL,Airports & Air Services
83,TCELL,Telecom Services
84,THYAO,Airlines
85,TKFEN,Engineering & Construction
86,TOASO,Auto Manufacturers
87,TTRAK,Farm & Heavy Construction Machinery
88,TRGYO,REIT—Retail
89,TSKB,Banks—Regional
90,TTKOM,Telecom Services
91,TUPRS,Oil & Gas Refining & Marketing
92,TURSG,Insurance—Property & Casualty
93,ULKER,Confectioners
94,VAKBN,Banks—Regional
95,VERUS,Asset Management
96,VESTL,Consumer Electronics
97,YATAS,"Furnishings, Fixtures & Appliances"
98,YKBNK,Banks—Regional
99,ZOREN,Utilities—Diversified
