,HISSE,SEKTOR
0,AEFES,Consumer Defensive
1,AGHOL,Consumer Defensive
2,AKBNK,Financial Services
3,AKCNS,Basic Materials
4,AKGRT,Financial Services
5,AKSA,Consumer Cyclical
6,AKSEN,Utilities
7,AKSGY,Real Estate
8,ALARK,Industrials
9,ALBRK,Financial Services
10,ALCTL,Technology
11,ALGYO,Real Estate
12,ALKIM,Basic Materials
13,ARCLK,Consumer Cyclical
14,ASELS,Industrials
15,AYGAZ,Utilities
16,BERA,Industrials
17,BIMAS,Consumer Defensive
18,BIZIM,Consumer Cyclical
19,BRISA,Consumer Cyclical
20,BRSAN,Basic Materials
21,BUCIM,Basic Materials
22,CCOLA,Consumer Defensive
23,CEMTS,Basic Materials
24,CIMSA,Basic Materials
25,DEVA,Healthcare
26,DOAS,Consumer Cyclical
27,DOHOL,Industrials
28,ECILC,Healthcare
29,ECZYT,Industrials
30,EGEEN,Consumer Cyclical
31,EGGUB,Basic Materials
32,EKGYO,Real Estate
33,ENJSA,Utilities
34,ENKAI,Industrials
35,EREGL,Basic Materials
36,FROTO,Consumer Cyclical
37,GARAN,Financial Services
38,GOODY,Consumer Cyclical
39,GOZDE,Financial Services
40,GSDHO,Financial Services
41,GUBRF,Basic Materials
42,HALKB,Financial Services
43,HEKTS,Basic Materials
44,HLGYO,Real Estate
45,IHLGM,Real Estate
46,INDES,Technology
47,IPEKE,Basic Materials
48,ISCTR,Financial Services
49,ISDMIR,Basic Materials
50,ISFIN,Financial Services
51,ISGYO,Real Estate
52,ISMEN,Financial Services
53,KARSN,Consumer Cyclical
54,KARTN,Consumer Cyclical
55,KCHOL,Industrials
56,KERVT,Consumer Defensive
57,KONYA,Basic Materials
58,KORDS,Consumer Cyclical
59,KOZAA,Basic Materials
60,KOZAL,Basic Materials
61,KRDMD,Basic Materials
62,LOGO,Technology
63,MAVI,Consumer Cyclical
64,MGROS,Consumer Defensive
65,MPARK,Healthcare
66,NETAS,Technology
67,NTHOL,Consumer Cyclical
68,ODAS,Utilities
69,OTKAR,Consumer Cyclical
70,OYAKC,Basic Materials
71,OZKGY,Real Estate
72,PETKM,Basic Materials
73,PGSUS,Industrials
74,PNSUT,Consumer Defensive
75,SAHOL,Financial Services
76,SASA,Consumer Cyclical
77,SELEC,Healthcare
78,SISE,Basic Materials
79,SKBNK,Financial Services
80,SOKM,Consumer Cyclical
81,TATGD,Consumer Defensive
82,TAVHL,Industrials
83,TCELL,Communication Services
84,THYAO,Industrials
85,TKFEN,Industrials
86,TOASO,Consumer Cyclical
87,TTRAK,Industrials
88,TRGYO,Real Estate
89,TSKB,Financial Services
90,TTKOM,Communication Services
91,TUPRS,Energy
92,TURSG,Financial Services
93,ULKER,Consumer Defensive
94,VAKBN,Financial Services
95,VERUS,Financial Services
96,VESTL,Technology
97,YATAS,Consumer Cyclical
98,YKBNK,Financial Services
99,ZOREN,Utilities
