,HISSE,INDUSTRY
0,AEFES,Beverages—Brewers
1,AGHOL,Beverages—Non-Alcoholic
2,AKBNK,Banks—Regional
3,AKCNS,Building Materials
4,AKSA,Textile Manufacturing
5,AKSEN,Utilities—Renewable
6,ALARK,Conglomerates
7,ALBRK,Banks—Regional
8,ALGYO,REIT—Diversified
9,ALKIM,Paper & Paper Products
10,ARCLK,"Furnishings, Fixtures & Appliances"
11,ARDYZ,Software—Infrastructure
12,ASELS,Aerospace & Defense
13,AYDEM,Utilities—Renewable
14,AYGAZ,Utilities—Regulated Gas
15,BERA,Conglomerates
16,BIMAS,Grocery Stores
17,BIOEN,Utilities—Renewable
18,BRISA,Auto Parts
19,CANTE,Utilities—Independent Power Producers
20,CCOLA,Beverages—Non-Alcoholic
21,CEMTS,Steel
22,CIMSA,Building Materials
23,DEVA,Drug Manufacturers—Specialty & Generic
24,DOAS,Auto & Truck Dealerships
25,DOHOL,Conglomerates
26,ECILC,Drug Manufacturers—General
27,EGEEN,Auto Parts
28,EKGYO,REIT—Residential
29,ENJSA,Utilities—Regulated Electric
30,ENKAI,Engineering & Construction
31,ERBOS,Metal Fabrication
32,EREGL,Steel
33,ESEN,Utilities—Renewable
34,FROTO,Auto Manufacturers
35,GARAN,Banks—Regional
36,GLYHO,Conglomerates
37,GOZDE,Asset Management
38,GUBRF,Agricultural Inputs
39,HALKB,Banks—Regional
40,HEKTS,Agricultural Inputs
41,HLGYO,REIT—Diversified
42,INDES,Computer Hardware
43,ISCTR,Banks—Regional
44,ISDMR,Steel
45,ISFIN,Credit Services
46,ISGYO,REIT—Diversified
47,ISMEN,Capital Markets
48,IZMDC,Steel
49,KARSN,Auto Manufacturers
50,KARTN,Packaging & Containers
51,KCHOL,Conglomerates
52,KERVT,Packaged Foods
53,KORDS,Textile Manufacturing
54,KOZAA,Other Industrial Metals & Mining
55,KOZAL,Gold
56,KRDMD,Steel
57,KRVGD,Confectioners
58,LOGO,Software—Application
59,MAVI,Apparel Retail
60,MGROS,Grocery Stores
61,MPARK,Medical Care Facilities
62,NETAS,Communication Equipment
63,ODAS,Utilities—Regulated Electric
64,OTKAR,Auto Manufacturers
65,OYAKC,Building Materials
66,PARSN,Specialty Industrial Machinery
67,PETKM,Chemicals
68,PGSUS,Airlines
69,QUAGR,Building Products & Equipment
70,SAHOL,Banks—Regional
71,SARKY,Copper
72,SASA,Textile Manufacturing
73,SELEC,Pharmaceutical Retailers
74,SISE,Specialty Chemicals
75,SKBNK,Banks—Regional
76,SOKM,Department Stores
77,TAVHL,Airports & Air Services
78,TCELL,Telecom Services
79,THYAO,Airlines
80,TKFEN,Engineering & Construction
81,TKNSA,Specialty Retail
82,TMSN,Farm & Heavy Construction Machinery
83,TOASO,Auto Manufacturers
84,TTRAK,Farm & Heavy Construction Machinery
85,TRGYO,REIT—Retail
86,TRILC,Drug Manufacturers—Specialty & Generic
87,TSKB,Banks—Regional
88,TTKOM,Telecom Services
89,TUPRS,Oil & Gas Refining & Marketing
90,TURSG,Insurance—Property & Casualty
91,ULKER,Confectioners
92,VAKBN,Banks—Regional
93,VERUS,Asset Management
94,VESBE,"Furnishings, Fixtures & Appliances"
95,VESTL,Consumer Electronics
96,YATAS,"Furnishings, Fixtures & Appliances"
97,YKBNK,Banks—Regional
98,ZOREN,Utilities—Diversified
99,ZRGYO,REIT—Diversified
