,HISSE,SEKTOR
0,AEFES,Consumer Defensive
1,AKBNK,Financial Services
2,AKSA,Consumer Cyclical
3,AKSEN,Utilities
4,AKSGY,Real Estate
5,ALARK,Industrials
6,ALBRK,Financial Services
7,ALGYO,Real Estate
8,ALKIM,Basic Materials
9,ARCLK,Consumer Cyclical
10,ASELS,Industrials
11,BERA,Industrials
12,BIMAS,Consumer Defensive
13,BRISA,Consumer Cyclical
14,BRSAN,Basic Materials
15,BUCIM,Basic Materials
16,CCOLA,Consumer Defensive
17,CEMAS,Industrials
18,CEMTS,Basic Materials
19,CIMSA,Basic Materials
20,DEVA,Healthcare
21,DOAS,Consumer Cyclical
22,DOHOL,Industrials
23,ECILC,Healthcare
24,ECZYT,Industrials
25,EGEEN,Consumer Cyclical
26,EGGUB,Basic Materials
27,EKGYO,Real Estate
28,ENJSA,Utilities
29,EREGL,Basic Materials
30,ESEN,Utilities
31,FENER,Communication Services
32,FROTO,Consumer Cyclical
33,GARAN,Financial Services
34,GOODY,Consumer Cyclical
35,GOZDE,Financial Services
36,GSDHO,Financial Services
37,GUBRF,Basic Materials
38,HALKB,Financial Services
39,HEKTS,Basic Materials
40,HLGYO,Real Estate
41,IHLAS ,Industrials
42,IHLGM,Real Estate
43,INDES,Technology
44,IPEKE,Basic Materials
45,ISCTR,Financial Services
46,ISFIN,Financial Services
47,ISGYO,Real Estate
48,ISMEN,Financial Services
49,JANTS,Consumer Cyclical
50,KARSN,Consumer Cyclical
51,KARTN,Consumer Cyclical
52,KCHOL,Industrials
53,KERVT,Consumer Defensive
54,KONYA,Basic Materials
55,KORDS,Consumer Cyclical
56,KOZAA,Basic Materials
57,KOZAL,Basic Materials
58,KRDMD,Basic Materials
59,KRVGD,Consumer Defensive
60,MAVI,Consumer Cyclical
61,MGROS,Consumer Defensive
62,MPARK,Healthcare
63,NETAS,Technology
64,NTHOL,Consumer Cyclical
65,NUHCM,Basic Materials
66,ODAS,Utilities
67,OTKAR,Consumer Cyclical
68,OYAKC,Basic Materials
69,PARSN ,Industrials
70,PETKM,Basic Materials
71,PGSUS,Industrials
72,POLHO,Basic Materials
73,SAHOL,Financial Services
74,SASA,Consumer Cyclical
75,SELEC,Healthcare
76,SISE,Basic Materials
77,SKBNK,Financial Services
78,SOKM,Consumer Cyclical
79,TATGD,Consumer Defensive
80,TAVHL,Industrials
81,TCELL,Communication Services
82,THYAO,Industrials
83,TKFEN,Industrials
84,TKNSA,Consumer Cyclical
85,TOASO,Consumer Cyclical
86,TTRAK,Industrials
87,TRGYO,Real Estate
88,TSKB,Financial Services
89,TTKOM,Communication Services
90,TUKAS,Consumer Defensive
91,TUPRS,Energy
92,TURSG,Financial Services
93,ULKER,Consumer Defensive
94,VAKBN,Financial Services
95,VERUS,Financial Services
96,VESTL,Technology
97,YATAS,Consumer Cyclical
98,YKBNK,Financial Services
99,ZOREN,Utilities
